"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1008.3","1018.4","1010.1","2017-04-01 22:36","1006.4","2017-04-01 00:34","17.8","22.7","2017-04-01 13:42","13.8","2017-04-01 03:29","9.4","61","37","2017-04-01 20:32","2.4","360","11.3","360","2017-04-01 11:18","5.5","6.0","0.5","2017-04-01 00:44","1.5","2017-04-01 00:31","8.2","66.5","21.54","12.0","5.2","6","2017-04-01 13:00","6.3"
"02","1010.4","1020.6","1012.5","2017-04-02 08:51","1008.6","2017-04-02 16:21","18.6","25.4","2017-04-02 12:58","11.9","2017-04-02 05:54","6.2","47","26","2017-04-02 12:53","1.4","340","9.6","350","2017-04-02 13:59","0.0","0.0","0.0","","0.0","","10.9","88.3","27.03","15.1","5.1","8","2017-04-02 12:00","1.0"
"03","1010.8","1020.9","1012.7","2017-04-03 08:08","1008.9","2017-04-03 15:28","19.9","26.5","2017-04-03 13:28","14.2","2017-04-03 04:22","10.5","57","34","2017-04-03 14:25","1.0","330","7.0","360","2017-04-03 14:16","0.0","0.0","0.0","","0.0","","10.0","80.8","25.18","12.3","4.0","6","2017-04-03 12:00","2.8"
"04","1009.1","1019.1","1011.3","2017-04-04 00:01","1006.8","2017-04-04 16:14","21.0","26.3","2017-04-04 12:41","15.5","2017-04-04 05:07","11.6","56","38","2017-04-04 11:29","1.1","150","6.9","230","2017-04-04 13:55","0.0","0.0","0.0","","0.0","","10.8","87.1","24.96","11.6","5.1","7","2017-04-04 12:00","2.9"
"05","1005.8","1015.8","1008.4","2017-04-05 00:01","1003.1","2017-04-05 15:59","22.6","28.4","2017-04-05 12:42","18.0","2017-04-05 06:06","13.9","59","41","2017-04-05 12:12","1.2","340","8.2","350","2017-04-05 14:01","0.0","0.0","0.0","","0.0","","9.3","74.9","24.18","12.4","4.3","7","2017-04-05 13:00","5.9"
"06","1004.0","1013.9","1005.8","2017-04-06 08:41","1002.7","2017-04-06 16:18","23.3","29.2","2017-04-06 12:36","19.1","2017-04-06 00:48","17.1","69","50","2017-04-06 11:17","0.8","290","6.1","230","2017-04-06 12:38","0.0","0.0","0.0","","0.0","","2.1","16.9","14.72","10.0","-7.7","5","2017-04-06 13:00","8.5"
"07","1003.4","1013.3","1005.9","2017-04-07 08:36","999.6","2017-04-07 04:55","23.7","27.2","2017-04-07 14:23","21.9","2017-04-07 02:08","20.0","80","68","2017-04-07 15:16","0.9","240","5.5","130","2017-04-07 04:53","1.5","3.5","0.5","2017-04-07 10:06","1.0","2017-04-07 09:58","0.8","6.4","7.92","9.3","/","4","2017-04-07 15:00","8.8"
"08","1002.9","1012.8","1005.1","2017-04-08 09:36","1000.6","2017-04-08 17:02","25.4","31.6","2017-04-08 13:35","20.6","2017-04-08 05:27","20.3","74","54","2017-04-08 12:07","1.2","250","7.8","220","2017-04-08 14:01","0.0","0.0","0.0","","0.0","","9.1","72.9","23.83","11.9","3.9","7","2017-04-08 13:00","4.1"
"09","999.9","1009.7","1002.3","2017-04-09 00:01","997.4","2017-04-09 14:57","26.4","32.1","2017-04-09 14:45","22.1","2017-04-09 05:40","21.6","76","58","2017-04-09 13:48","1.9","200","9.7","130","2017-04-09 13:33","0.0","0.0","0.0","","0.0","","6.4","51.1","19.41","12.0","6.1","5","2017-04-09 14:00","6.8"
"10","998.3","1008.0","1000.7","2017-04-10 09:05","995.4","2017-04-10 16:05","28.3","33.7","2017-04-10 14:02","24.7","2017-04-10 02:52","20.2","63","43","2017-04-10 13:48","2.7","180","10.1","190","2017-04-10 11:11","0.0","0.0","0.0","","0.0","","8.5","67.8","24.04","14.6","4.3","6","2017-04-10 12:00","7.4"
"11","999.0","1008.8","1000.7","2017-04-11 22:55","997.5","2017-04-11 04:40","25.3","27.6","2017-04-11 09:52","19.3","2017-04-11 23:52","21.4","80","64","2017-04-11 08:13","1.5","180","9.1","140","2017-04-11 03:00","27.5","4.5","8.5","2017-04-11 22:32","23.5","2017-04-11 22:14","0.3","2.4","4.76","11.8","-2.9","2","2017-04-11 12:00","9.1"
"12","1003.0","1013.1","1006.2","2017-04-12 23:58","1000.5","2017-04-12 02:33","19.2","21.8","2017-04-12 09:39","16.1","2017-04-12 23:59","17.0","87","79","2017-04-12 11:18","1.7","360","8.9","360","2017-04-12 09:47","14.0","6.4","3.0","2017-04-12 00:10","5.0","2017-04-12 22:52","0.4","3.2","5.64","12.4","-0.8","2","2017-04-12 10:00","9.9"
