"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","994.6","1004.2","996.5","2018-08-01 08:15","992.0","2018-08-01 16:08","30.7","35.1","2018-08-01 14:21","27.7","2018-08-01 05:03","25.7","75","58","2018-08-01 13:08","2.1","210","7.6","260","2018-08-01 13:05","0.0","0.0","0.0","2018-08-01 00:00","0.0","2018-08-01 00:00","7.3","55.3","22.00","11.9","-5.0","8","2018-08-01 13:00","4.2"
"02","994.2","1003.8","996.1","2018-08-02 09:27","992.0","2018-08-02 16:13","29.6","32.9","2018-08-02 15:32","26.5","2018-08-02 07:14","25.5","79","65","2018-08-02 14:30","1.9","180","7.0","190","2018-08-02 18:49","1.5","3.0","0.5","2018-08-02 07:15","1.5","2018-08-02 07:21","2.1","15.9","15.04","13.3","-3.7","6","2018-08-02 12:00","7.7"
"03","994.5","1004.2","996.1","2018-08-03 23:10","993.0","2018-08-03 02:53","28.6","32.9","2018-08-03 12:22","26.4","2018-08-03 23:54","24.5","79","68","2018-08-03 11:24","1.3","160","8.9","240","2018-08-03 13:24","1.5","0.6","1.0","2018-08-03 15:07","1.0","2018-08-03 15:07","2.4","18.2","12.17","13.9","-2.1","8","2018-08-03 13:00","7.3"
"04","995.8","1005.4","997.8","2018-08-04 23:06","994.1","2018-08-04 15:41","29.4","34.9","2018-08-04 12:56","25.5","2018-08-04 05:38","24.7","77","62","2018-08-04 12:35","0.9","230","7.5","170","2018-08-04 18:07","0.0","0.0","0.0","2018-08-04 00:00","0.0","2018-08-04 00:00","6.3","47.9","20.56","13.8","4.0","9","2018-08-04 13:00","6.1"
"05","996.7","1006.4","997.8","2018-08-05 05:53","995.1","2018-08-05 13:18","28.5","34.6","2018-08-05 12:18","25.2","2018-08-05 23:41","24.7","81","60","2018-08-05 11:48","0.8","140","7.5","360","2018-08-05 13:34","2.0","2.5","0.5","2018-08-05 15:57","1.5","2018-08-05 15:42","6.6","50.3","18.68","12.4","-3.0","10","2018-08-05 12:00","5.5"
"06","995.8","1005.4","997.6","2018-08-06 00:16","992.9","2018-08-06 16:15","29.3","33.9","2018-08-06 13:43","25.2","2018-08-06 00:01","24.8","78","61","2018-08-06 10:24","1.0","340","8.1","340","2018-08-06 14:19","T","0.3","T","2018-08-06 19:55","T","2018-08-06 19:55","9.5","72.5","24.21","12.3","-4.4","8","2018-08-06 12:00","6.6"
"07","994.8","1004.4","996.5","2018-08-07 06:27","992.3","2018-08-07 17:04","29.6","33.3","2018-08-07 12:14","25.7","2018-08-07 04:44","25.4","78","67","2018-08-07 09:49","1.4","170","7.1","170","2018-08-07 22:45","T","0.3","T","2018-08-07 13:50","T","2018-08-07 13:50","6.0","45.8","18.82","12.9","-5.7","6","2018-08-07 10:00","7.2"
"08","995.0","1004.7","996.6","2018-08-08 22:55","993.2","2018-08-08 17:33","29.9","34.2","2018-08-08 12:31","27.9","2018-08-08 05:40","25.2","77","60","2018-08-08 13:15","1.5","180","7.8","340","2018-08-08 16:31","0.0","0.0","0.0","2018-08-08 00:00","0.0","2018-08-08 00:00","5.3","40.6","17.46","12.5","4.1","8","2018-08-08 12:00","7.1"
"09","995.5","1005.1","996.7","2018-08-09 10:08","993.5","2018-08-09 16:54","29.7","33.3","2018-08-09 15:55","27.3","2018-08-09 04:55","25.0","76","62","2018-08-09 15:47","0.9","350","6.0","330","2018-08-09 15:37","0.0","0.0","0.0","2018-08-09 00:00","0.0","2018-08-09 00:00","3.3","25.3","13.59","10.8","3.6","6","2018-08-09 12:00","7.2"
"10","994.3","1003.9","996.5","2018-08-10 00:40","991.7","2018-08-10 16:51","29.8","33.9","2018-08-10 15:09","26.3","2018-08-10 05:06","24.7","75","60","2018-08-10 17:48","1.0","190","7.1","350","2018-08-10 13:14","0.0","0.0","0.0","2018-08-10 00:00","0.0","2018-08-10 00:00","6.9","53.0","19.09","10.5","4.8","6","2018-08-10 14:00","5.2"
"11","991.2","1000.8","994.4","2018-08-11 00:01","988.8","2018-08-11 17:20","29.0","33.9","2018-08-11 13:00","25.8","2018-08-11 05:40","24.6","78","55","2018-08-11 11:15","0.8","350","6.8","340","2018-08-11 13:59","T","0.7","T","2018-08-11 14:45","T","2018-08-11 14:45","6.0","46.1","18.18","10.5","-3.6","7","2018-08-11 11:00","6.7"
"12","987.7","997.3","989.8","2018-08-12 00:11","984.8","2018-08-12 16:06","29.6","33.6","2018-08-12 14:33","26.3","2018-08-12 05:41","25.1","77","64","2018-08-12 14:52","0.9","210","5.9","340","2018-08-12 16:55","0.0","0.0","0.0","2018-08-12 00:00","0.0","2018-08-12 00:00","4.0","30.8","15.90","10.0","3.2","5","2018-08-12 10:00","6.8"
"13","989.5","999.1","991.4","2018-08-13 23:07","988.0","2018-08-13 00:12","28.0","34.0","2018-08-13 12:22","24.7","2018-08-13 16:45","25.0","85","64","2018-08-13 10:43","0.8","250","8.7","230","2018-08-13 14:03","68.5","5.0","13.5","2018-08-13 16:39","49.0","2018-08-13 16:10","3.6","27.8","10.54","9.9","-1.0","7","2018-08-13 11:00","7.7"
"14","990.5","1000.2","992.1","2018-08-14 21:28","989.1","2018-08-14 14:58","26.7","33.8","2018-08-14 12:25","23.9","2018-08-14 05:11","25.1","92","63","2018-08-14 10:56","1.0","230","7.9","40","2018-08-14 14:10","12.5","5.6","3.0","2018-08-14 14:09","5.0","2018-08-14 14:05","5.0","38.6","14.44","14.0","-3.1","10","2018-08-14 13:00","6.0"
"15","992.5","1002.1","993.6","2018-08-15 10:04","991.1","2018-08-15 00:53","27.3","29.9","2018-08-15 11:20","24.4","2018-08-15 06:05","24.8","87","74","2018-08-15 16:56","1.2","160","7.2","160","2018-08-15 10:40","0.5","0.3","0.5","2018-08-15 12:18","0.5","2018-08-15 12:18","0.0","0.0","9.98","11.8","-5.0","5","2018-08-15 12:00","9.2"
"16","992.0","1001.6","993.6","2018-08-16 00:01","990.0","2018-08-16 15:31","28.1","31.1","2018-08-16 15:32","25.0","2018-08-16 05:40","25.1","84","73","2018-08-16 10:56","1.1","160","6.0","190","2018-08-16 19:57","9.5","1.1","8.5","2018-08-16 11:44","9.0","2018-08-16 11:44","2.0","15.5","12.12","11.9","-1.1","5","2018-08-16 11:00","8.8"
"17","991.0","1000.6","992.9","2018-08-17 23:22","988.9","2018-08-17 15:07","29.4","32.8","2018-08-17 11:49","26.2","2018-08-17 03:48","24.5","75","63","2018-08-17 12:44","1.8","190","8.9","210","2018-08-17 15:45","0.0","0.0","0.0","2018-08-17 00:00","0.0","2018-08-17 00:00","5.6","43.5","21.18","13.9","3.8","9","2018-08-17 12:00","6.8"
"18","993.0","1002.7","994.7","2018-08-18 21:08","991.8","2018-08-18 13:34","27.8","32.4","2018-08-18 10:52","25.1","2018-08-18 23:43","24.9","85","66","2018-08-18 10:46","1.0","80","7.7","220","2018-08-18 13:53","9.5","5.2","2.5","2018-08-18 15:06","4.5","2018-08-18 14:53","3.8","29.5","12.16","13.9","-0.8","7","2018-08-18 11:00","8.1"
