"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1005.7","1015.7","1007.3","2017-12-01 20:31","1004.0","2017-12-01 14:04","22.1","26.4","2017-12-01 12:34","20.1","2017-12-01 22:41","16.6","71","57","2017-12-01 12:56","2.6","360","10.0","350","2017-12-01 11:08","0.0","0.0","0.0","","0.0","","5.8","54.2","14.59","14.1","3.7","6","2017-12-01 13:00","8.3"
"02","1006.2","1016.1","1008.2","2017-12-02 08:34","1004.4","2017-12-02 13:54","21.7","26.9","2017-12-02 12:12","19.4","2017-12-02 00:31","17.5","77","61","2017-12-02 12:12","1.6","340","8.1","320","2017-12-02 15:14","0.0","0.0","0.0","","0.0","","1.9","17.8","11.35","12.6","3.4","5","2017-12-02 13:00","6.0"
"03","1005.2","1015.2","1007.4","2017-12-03 09:06","1002.5","2017-12-03 15:23","22.1","26.5","2017-12-03 13:52","19.4","2017-12-03 00:09","17.9","78","64","2017-12-03 13:52","2.1","360","9.5","10","2017-12-03 21:03","0.0","0.0","0.0","","0.0","","6.8","63.7","13.94","16.1","3.3","5","2017-12-03 12:00","5.4"
"04","1005.7","1015.8","1007.3","2017-12-04 08:23","1003.6","2017-12-04 15:22","20.7","24.9","2017-12-04 10:48","18.3","2017-12-04 23:23","14.6","69","53","2017-12-04 13:47","2.9","10","11.8","10","2017-12-04 14:15","0.0","0.0","0.0","","0.0","","9.3","87.2","16.12","12.6","3.4","5","2017-12-04 12:00","3.9"
"05","1007.9","1018.1","1010.7","2017-12-05 08:59","1006.2","2017-12-05 00:01","18.1","22.1","2017-12-05 12:51","14.7","2017-12-05 23:59","11.6","66","55","2017-12-05 12:58","2.7","20","9.9","30","2017-12-05 13:47","0.0","0.0","0.0","","0.0","","4.1","38.5","10.05","10.0","3.1","3","2017-12-05 11:00","5.4"
"06","1007.6","1017.8","1009.1","2017-12-06 19:08","1006.1","2017-12-06 02:02","17.0","21.1","2017-12-06 11:29","13.8","2017-12-06 03:24","13.3","79","60","2017-12-06 11:29","0.8","350","8.1","10","2017-12-06 12:39","0.5","5.0","0.5","2017-12-06 20:13","0.5","2017-12-06 19:13","0.6","5.6","6.59","10.9","-0.2","3","2017-12-06 12:00","8.3"
"07","1006.6","1016.8","1008.8","2017-12-07 07:05","1004.5","2017-12-07 14:37","17.8","22.2","2017-12-07 14:09","15.8","2017-12-07 05:03","15.9","89","72","2017-12-07 12:59","1.7","10","9.2","330","2017-12-07 15:25","3.5","9.6","1.0","2017-12-07 06:00","1.5","2017-12-07 05:55","0.6","5.6","7.46","9.5","-2.0","3","2017-12-07 13:00","9.1"
"08","1008.0","1018.2","1009.2","2017-12-08 09:00","1006.2","2017-12-08 13:48","15.2","16.8","2017-12-08 00:25","12.8","2017-12-08 21:11","10.8","76","63","2017-12-08 14:05","2.9","20","12.2","360","2017-12-08 13:51","1.0","5.8","0.5","2017-12-08 01:06","0.5","2017-12-08 01:06","0.0","0.0","4.13","9.9","-0.6","2","2017-12-08 12:00","10.0"
"09","1007.5","1017.8","1009.4","2017-12-09 09:16","1005.8","2017-12-09 16:17","14.5","17.9","2017-12-09 14:56","12.5","2017-12-09 01:58","13.2","92","80","2017-12-09 14:47","0.7","40","5.9","30","2017-12-09 00:01","3.0","9.8","0.5","2017-12-09 00:02","1.0","2017-12-09 01:25","0.0","0.0","4.21","9.0","-0.7","2","2017-12-09 14:00","8.1"
"10","1006.7","1016.9","1008.1","2017-12-10 08:23","1005.0","2017-12-10 14:01","17.3","23.2","2017-12-10 13:56","11.8","2017-12-10 06:00","14.3","84","61","2017-12-10 11:42","1.1","360","8.5","30","2017-12-10 22:35","0.0","0.0","0.0","","0.0","","9.3","87.5","15.38","12.0","1.2","5","2017-12-10 12:00","2.3"
"11","1006.2","1016.3","1007.6","2017-12-11 08:42","1004.1","2017-12-11 13:45","18.4","24.4","2017-12-11 13:31","14.0","2017-12-11 04:05","12.5","70","49","2017-12-11 13:31","1.7","360","9.7","350","2017-12-11 12:05","0.0","0.0","0.0","","0.0","","9.6","90.4","15.66","10.5","3.3","5","2017-12-11 12:00","2.9"
"12","1007.5","1017.6","1010.2","2017-12-12 10:07","1006.0","2017-12-12 04:10","18.0","19.6","2017-12-12 12:00","16.9","2017-12-12 00:35","14.5","80","70","2017-12-12 08:33","0.9","360","7.1","20","2017-12-12 20:01","T","2.9","T","2017-12-12 09:20","T","2017-12-12 09:20","0.0","0.0","3.14","10.5","-1.2","2","2017-12-12 13:00","9.8"
"13","1006.4","1016.5","1007.8","2017-12-13 08:48","1004.7","2017-12-13 15:00","19.5","24.6","2017-12-13 12:55","16.1","2017-12-13 06:11","15.8","80","59","2017-12-13 13:41","0.9","340","7.2","340","2017-12-13 15:28","T","0.8","T","2017-12-13 03:05","T","2017-12-13 03:05","1.7","16.0","10.12","10.8","1.5","4","2017-12-13 12:00","7.5"
"14","1006.9","1017.0","1008.4","2017-12-14 09:40","1005.5","2017-12-14 14:33","20.0","26.3","2017-12-14 12:37","15.4","2017-12-14 06:20","16.0","79","57","2017-12-14 12:35","0.9","330","6.4","350","2017-12-14 14:51","0.0","0.0","0.0","","0.0","","8.6","81.1","14.16","10.5","1.9","4","2017-12-14 13:00","3.1"
"15","1007.5","1017.6","1009.0","2017-12-15 22:25","1005.4","2017-12-15 14:19","20.2","25.6","2017-12-15 12:25","16.0","2017-12-15 06:33","17.4","84","64","2017-12-15 12:25","0.9","360","7.6","350","2017-12-15 15:12","0.0","0.0","0.0","","0.0","","6.6","62.2","12.61","10.3","2.6","4","2017-12-15 12:00","2.4"
"16","1009.4","1019.5","1011.1","2017-12-16 21:20","1007.5","2017-12-16 14:22","18.0","22.1","2017-12-16 10:47","14.2","2017-12-16 23:59","15.0","83","74","2017-12-16 14:00","3.3","20","14.4","10","2017-12-16 16:03","0.0","0.0","0.0","","0.0","","1.1","10.4","7.10","13.4","1.7","4","2017-12-16 11:00","8.3"
"17","1011.6","1021.9","1013.0","2017-12-17 09:31","1010.4","2017-12-17 00:01","15.1","17.2","2017-12-17 11:39","13.8","2017-12-17 05:24","10.2","72","64","2017-12-17 11:39","2.5","20","10.4","30","2017-12-17 02:17","0.0","0.0","0.0","","0.0","","0.0","0.0","5.02","11.0","1.1","2","2017-12-17 12:00","9.8"
"18","1011.1","1021.3","1013.2","2017-12-18 09:16","1008.7","2017-12-18 14:44","16.8","20.3","2017-12-18 12:46","14.8","2017-12-18 04:10","12.0","74","63","2017-12-18 13:27","2.5","10","11.1","50","2017-12-18 09:08","0.0","0.0","0.0","","0.0","","1.3","12.3","10.49","13.0","-2.5","4","2017-12-18 12:00","9.1"
"19","1011.6","1021.8","1013.3","2017-12-19 23:50","1009.4","2017-12-19 14:16","16.3","20.0","2017-12-19 14:03","14.8","2017-12-19 06:28","12.1","77","63","2017-12-19 14:01","3.0","10","10.4","20","2017-12-19 05:57","T","1.3","T","2017-12-19 04:50","T","2017-12-19 04:50","1.3","12.3","8.54","13.6","-2.9","4","2017-12-19 13:00","7.4"
"20","1014.0","1024.3","1015.8","2017-12-20 09:12","1012.1","2017-12-20 14:10","17.2","22.5","2017-12-20 13:22","14.0","2017-12-20 23:24","10.4","65","45","2017-12-20 13:22","2.8","10","14.0","350","2017-12-20 15:59","0.0","0.0","0.0","","0.0","","7.5","70.8","13.70","12.3","1.7","4","2017-12-20 12:00","3.9"
"21","1013.2","1023.4","1015.4","2017-12-21 08:02","1010.8","2017-12-21 14:30","17.0","22.9","2017-12-21 13:07","13.2","2017-12-21 23:38","9.1","61","46","2017-12-21 12:30","1.5","20","7.3","10","2017-12-21 01:37","0.0","0.0","0.0","","0.0","","8.6","81.2","15.25","15.3","4.1","5","2017-12-21 12:00","3.0"
"22","1009.8","1020.0","1012.5","2017-12-22 00:01","1007.0","2017-12-22 14:36","17.5","25.1","2017-12-22 14:07","11.7","2017-12-22 06:40","12.4","74","45","2017-12-22 13:34","0.5","330","5.4","320","2017-12-22 15:21","0.0","0.0","0.0","","0.0","","9.2","86.8","14.61","10.3","1.7","4","2017-12-22 13:00","0.0"
"23","1006.7","1016.8","1008.6","2017-12-23 08:54","1003.9","2017-12-23 14:18","18.4","25.7","2017-12-23 13:16","13.7","2017-12-23 05:57","14.8","81","50","2017-12-23 13:43","0.7","340","6.3","20","2017-12-23 14:16","0.0","0.0","0.0","","0.0","","8.1","76.4","14.34","8.5","2.3","5","2017-12-23 13:00","4.3"
"24","1006.8","1016.9","1009.3","2017-12-24 09:08","1004.6","2017-12-24 14:38","19.5","26.1","2017-12-24 13:10","14.9","2017-12-24 03:11","15.1","77","52","2017-12-24 13:56","1.8","360","8.6","340","2017-12-24 15:33","0.0","0.0","0.0","","0.0","","7.9","74.5","14.91","7.6","3.0","5","2017-12-24 13:00","3.6"
"25","1007.9","1018.0","1009.8","2017-12-25 09:13","1006.0","2017-12-25 03:12","18.7","23.5","2017-12-25 13:05","16.3","2017-12-25 07:28","10.5","59","46","2017-12-25 13:24","2.2","360","8.6","30","2017-12-25 04:46","0.0","0.0","0.0","","0.0","","5.8","54.7","12.95","10.0","3.2","5","2017-12-25 12:00","7.0"
"26","1009.5","1019.6","1011.3","2017-12-26 09:08","1007.6","2017-12-26 14:50","19.8","25.0","2017-12-26 12:51","16.3","2017-12-26 22:47","13.4","67","55","2017-12-26 12:50","0.9","330","6.2","20","2017-12-26 16:03","0.0","0.0","0.0","","0.0","","7.8","73.6","13.87","10.3","2.3","4","2017-12-26 12:00","4.6"
"27","1009.5","1019.6","1011.4","2017-12-27 08:58","1007.3","2017-12-27 14:22","20.0","25.5","2017-12-27 12:55","15.8","2017-12-27 01:10","14.9","73","55","2017-12-27 12:55","0.6","360","5.1","350","2017-12-27 15:14","0.0","0.0","0.0","","0.0","","5.5","51.9","11.94","9.8","2.0","4","2017-12-27 12:00","5.0"
"28","1009.5","1019.5","1011.0","2017-12-28 21:56","1007.4","2017-12-28 14:27","20.6","25.7","2017-12-28 12:47","16.5","2017-12-28 06:53","15.4","73","51","2017-12-28 12:47","0.8","240","6.0","10","2017-12-28 13:24","T","0.4","T","2017-12-28 21:17","T","2017-12-28 21:17","2.4","22.6","8.75","9.0","-1.3","4","2017-12-28 12:00","7.1"
"29","1010.0","1020.1","1012.3","2017-12-29 09:23","1007.8","2017-12-29 15:13","19.9","24.7","2017-12-29 12:47","17.6","2017-12-29 06:47","16.3","81","58","2017-12-29 12:45","1.8","350","9.0","340","2017-12-29 13:58","0.0","0.0","0.0","","0.0","","9.3","87.6","15.17","9.6","2.7","...","","3.8"
"30","1010.2","1020.3","1012.1","2017-12-30 08:53","1008.0","2017-12-30 13:29","19.9","27.1","2017-12-30 12:43","16.4","2017-12-30 02:47","16.0","80","49","2017-12-30 12:43","1.2","340","9.4","340","2017-12-30 14:03","0.0","0.0","0.0","","0.0","","6.9","65.0","14.12","8.5","2.6","...","","3.9"
"31","1009.5","1019.7","1011.3","2017-12-31 10:02","1008.2","2017-12-31 15:38","17.5","21.1","2017-12-31 10:53","15.3","2017-12-31 23:40","13.0","75","64","2017-12-31 11:20","2.6","20","10.7","330","2017-12-31 13:11","0.0","0.0","0.0","","0.0","","9.1","85.7","14.67","11.9","2.6","...","","2.6"
