"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1000.8","1010.5","1003.0","2018-09-01 00:10","998.6","2018-09-01 15:40","27.9","31.9","2018-09-01 12:20","25.5","2018-09-01 05:43","24.3","81","63","2018-09-01 12:26","0.7","150","5.5","230","2018-09-01 18:01","1.5","1.7","0.5","2018-09-01 15:05","1.5","2018-09-01 14:52","1.1","8.8","13.46","13.0","-1.6","7","2018-09-01 12:00","9.0"
"02","998.0","1007.7","1000.4","2018-09-02 00:01","995.8","2018-09-02 15:22","28.3","32.6","2018-09-02 13:37","24.7","2018-09-02 06:24","24.1","79","57","2018-09-02 15:12","1.3","220","6.4","320","2018-09-02 14:28","3.0","0.4","3.0","2018-09-02 01:05","3.0","2018-09-02 01:05","8.7","69.5","23.12","12.0","4.7","9","2018-09-02 12:00","5.0"
"03","996.5","1006.1","998.0","2018-09-03 08:11","994.5","2018-09-03 16:03","28.7","32.9","2018-09-03 12:26","25.3","2018-09-03 05:41","23.5","74","59","2018-09-03 12:14","1.8","160","7.6","230","2018-09-03 13:55","0.0","0.0","0.0","2018-09-03 00:00","0.0","2018-09-03 00:00","10.0","80.0","24.99","13.1","5.7","10","2018-09-03 12:00","2.6"
"04","995.4","1005.0","996.7","2018-09-04 09:56","992.6","2018-09-04 15:03","29.4","34.0","2018-09-04 14:45","26.2","2018-09-04 03:54","24.4","75","58","2018-09-04 12:37","2.0","210","7.7","160","2018-09-04 11:25","0.0","0.0","0.0","2018-09-04 00:00","0.0","2018-09-04 00:00","9.2","73.7","25.11","12.1","6.5","10","2018-09-04 12:00","5.1"
"05","995.9","1005.6","997.5","2018-09-05 22:42","994.2","2018-09-05 16:02","29.2","33.5","2018-09-05 12:47","27.3","2018-09-05 14:33","25.3","80","66","2018-09-05 12:21","1.2","170","6.5","230","2018-09-05 13:17","T","0.6","T","2018-09-05 13:59","T","2018-09-05 13:59","3.8","30.5","16.33","10.0","-2.4","9","2018-09-05 12:00","6.6"
"06","996.3","1006.0","997.6","2018-09-06 23:43","994.4","2018-09-06 16:51","28.4","32.0","2018-09-06 14:47","25.7","2018-09-06 23:57","24.8","82","66","2018-09-06 14:33","0.8","270","5.7","230","2018-09-06 18:24","1.0","1.1","0.5","2018-09-06 22:42","0.5","2018-09-06 22:42","1.3","10.5","11.06","10.8","-2.6","5","2018-09-06 14:00","8.5"
"07","996.9","1006.6","999.4","2018-09-07 22:18","994.8","2018-09-07 14:29","28.1","33.1","2018-09-07 11:53","24.3","2018-09-07 23:30","24.8","83","61","2018-09-07 10:47","1.0","180","7.3","180","2018-09-07 19:59","9.0","1.7","4.0","2018-09-07 20:45","8.5","2018-09-07 20:20","5.2","41.9","16.42","13.8","-2.9","8","2018-09-07 11:00","8.3"
"08","998.2","1007.9","999.8","2018-09-08 08:37","996.8","2018-09-08 14:06","27.5","31.5","2018-09-08 12:07","23.9","2018-09-08 02:08","24.3","84","66","2018-09-08 13:40","1.2","340","6.7","350","2018-09-08 11:26","0.0","0.0","0.0","2018-09-08 00:00","0.0","2018-09-08 00:00","3.5","28.3","16.39","11.6","3.1","7","2018-09-08 13:00","8.4"
"09","999.0","1008.8","1000.9","2018-09-09 22:49","997.1","2018-09-09 15:44","27.2","30.4","2018-09-09 12:56","25.5","2018-09-09 23:44","22.9","77","69","2018-09-09 12:55","2.6","10","12.2","310","2018-09-09 13:58","0.0","0.0","0.0","2018-09-09 00:00","0.0","2018-09-09 00:00","8.6","69.6","24.55","16.1","6.0","10","2018-09-09 13:00","6.1"
"10","998.2","1008.0","1000.6","2018-09-10 00:18","996.1","2018-09-10 15:05","27.4","32.4","2018-09-10 12:05","23.6","2018-09-10 06:17","22.2","74","61","2018-09-10 11:10","1.9","350","7.6","340","2018-09-10 07:06","0.0","0.0","0.0","2018-09-10 00:00","0.0","2018-09-10 00:00","5.1","41.3","20.21","15.6","4.8","10","2018-09-10 12:00","5.8"
"11","998.2","1007.9","1000.2","2018-09-11 22:13","995.8","2018-09-11 02:19","28.6","32.3","2018-09-11 15:16","25.5","2018-09-11 00:27","24.5","79","61","2018-09-11 16:00","1.3","190","5.5","170","2018-09-11 12:19","0.0","0.0","0.0","2018-09-11 00:00","0.0","2018-09-11 00:00","1.6","13.0","14.65","11.6","3.0","7","2018-09-11 12:00","8.2"
"12","999.3","1009.0","1000.5","2018-09-12 21:53","997.6","2018-09-12 16:49","28.6","32.4","2018-09-12 14:06","25.9","2018-09-12 05:37","25.1","82","66","2018-09-12 10:13","1.2","340","7.2","300","2018-09-12 16:25","0.0","0.0","0.0","2018-09-12 00:00","0.0","2018-09-12 00:00","7.2","58.6","20.18","11.4","4.7","9","2018-09-12 12:00","7.8"
"13","999.0","1008.7","1000.3","2018-09-13 08:10","997.8","2018-09-13 16:23","29.2","33.8","2018-09-13 13:05","26.9","2018-09-13 02:09","25.3","80","66","2018-09-13 13:02","1.1","350","6.8","340","2018-09-13 16:38","0.0","0.0","0.0","2018-09-13 00:00","0.0","2018-09-13 00:00","3.7","30.2","16.24","9.8","3.7","6","2018-09-13 13:00","5.5"
"14","996.8","1006.5","999.6","2018-09-14 08:45","994.3","2018-09-14 16:05","29.3","33.4","2018-09-14 13:34","25.8","2018-09-14 05:50","24.7","77","61","2018-09-14 15:08","0.6","240","4.5","340","2018-09-14 14:04","0.0","0.0","0.0","2018-09-14 00:00","0.0","2018-09-14 00:00","4.0","32.7","14.69","10.3","4.2","5","2018-09-14 14:00","5.5"
"15","990.9","1000.5","994.5","2018-09-15 00:07","988.0","2018-09-15 15:14","28.0","31.8","2018-09-15 16:03","25.5","2018-09-15 04:40","22.8","74","56","2018-09-15 13:31","0.7","20","5.3","350","2018-09-15 11:56","T","0.1","T","2018-09-15 11:15","T","2018-09-15 11:15","0.0","0.0","3.63","10.0","-0.7","2","2018-09-15 14:00","8.5"
"16","996.8","1006.5","1002.2","2018-09-16 23:58","990.7","2018-09-16 00:05","28.4","32.8","2018-09-16 11:32","26.0","2018-09-16 05:36","23.9","77","61","2018-09-16 11:36","0.8","340","6.2","350","2018-09-16 12:44","1.0","1.7","0.5","2018-09-16 16:30","1.0","2018-09-16 16:16","1.1","9.0","11.92","10.8","-1.2","7","2018-09-16 11:00","9.3"
"17","1002.6","1012.3","1005.9","2018-09-17 22:43","1000.6","2018-09-17 14:44","29.8","35.2","2018-09-17 13:31","25.5","2018-09-17 04:38","24.6","75","56","2018-09-17 10:24","1.2","330","7.8","340","2018-09-17 12:18","1.0","0.4","1.0","2018-09-17 23:42","1.0","2018-09-17 23:42","9.8","80.5","25.28","15.3","-5.4","10","2018-09-17 12:00","5.7"
"18","1003.8","1013.5","1005.9","2018-09-18 00:14","1001.3","2018-09-18 15:47","28.8","32.5","2018-09-18 11:59","26.0","2018-09-18 04:03","25.4","82","65","2018-09-18 12:03","1.2","340","8.1","300","2018-09-18 12:06","3.5","0.9","1.5","2018-09-18 00:01","3.0","2018-09-18 00:01","6.3","51.9","17.74","11.6","3.8","8","2018-09-18 12:00","6.0"
"19","1002.1","1011.8","1003.8","2018-09-19 07:45","1000.2","2018-09-19 15:36","28.7","33.0","2018-09-19 12:37","25.4","2018-09-19 05:20","24.3","78","62","2018-09-19 10:39","0.8","350","5.3","340","2018-09-19 16:33","0.0","0.0","0.0","2018-09-19 00:00","0.0","2018-09-19 00:00","6.3","52.0","17.19","10.1","5.3","6","2018-09-19 11:00","4.2"
"20","1000.9","1010.6","1002.1","2018-09-20 07:52","999.3","2018-09-20 14:57","28.8","32.3","2018-09-20 13:12","26.7","2018-09-20 01:29","24.2","77","64","2018-09-20 16:59","1.1","240","6.2","230","2018-09-20 13:49","0.0","0.0","0.0","2018-09-20 00:00","0.0","2018-09-20 00:00","5.8","48.0","19.10","9.8","2.3","7","2018-09-20 13:00","6.2"
"21","1002.1","1011.8","1004.6","2018-09-21 23:59","1000.2","2018-09-21 14:30","29.1","33.4","2018-09-21 12:09","25.5","2018-09-21 05:47","22.7","69","54","2018-09-21 12:03","1.2","240","6.4","230","2018-09-21 13:02","0.0","0.0","0.0","2018-09-21 00:00","0.0","2018-09-21 00:00","9.4","77.9","21.82","11.4","4.8","8","2018-09-21 11:00","3.5"
"22","1003.9","1013.6","1005.0","2018-09-22 00:40","1002.5","2018-09-22 15:45","29.3","33.2","2018-09-22 12:32","25.3","2018-09-22 05:40","22.4","67","51","2018-09-22 11:18","1.2","330","7.8","330","2018-09-22 14:10","0.0","0.0","0.0","2018-09-22 00:00","0.0","2018-09-22 00:00","10.7","88.8","23.40","14.5","4.8","9","2018-09-22 12:00","3.7"
"23","1002.7","1012.4","1004.9","2018-09-23 00:01","1000.2","2018-09-23 14:50","29.2","33.7","2018-09-23 11:58","25.6","2018-09-23 05:37","23.5","72","50","2018-09-23 11:52","1.2","340","7.8","310","2018-09-23 15:55","0.0","0.0","0.0","2018-09-23 00:00","0.0","2018-09-23 00:00","9.4","78.2","22.16","11.6","5.2","9","2018-09-23 12:00","4.6"
"24","998.5","1008.2","1002.1","2018-09-24 00:19","996.1","2018-09-24 15:30","28.6","33.1","2018-09-24 12:24","25.3","2018-09-24 04:57","21.9","68","54","2018-09-24 15:46","2.5","360","13.3","360","2018-09-24 14:52","0.0","0.0","0.0","2018-09-24 00:00","0.0","2018-09-24 00:00","10.2","85.0","23.02","15.5","5.7","8","2018-09-24 12:00","2.6"
"25","996.4","1006.1","998.1","2018-09-25 00:08","994.0","2018-09-25 14:39","28.5","33.8","2018-09-25 13:57","25.2","2018-09-25 04:56","20.5","63","49","2018-09-25 14:15","1.7","360","9.4","360","2018-09-25 14:57","0.0","0.0","0.0","2018-09-25 00:00","0.0","2018-09-25 00:00","8.4","70.1","19.23","16.9","5.0","6","2018-09-25 14:00","3.5"
"26","996.6","1006.3","997.9","2018-09-26 09:06","994.8","2018-09-26 14:16","27.0","31.4","2018-09-26 12:25","24.2","2018-09-26 05:42","20.5","68","57","2018-09-26 12:03","3.1","360","12.0","350","2018-09-26 15:31","0.0","0.0","0.0","2018-09-26 00:00","0.0","2018-09-26 00:00","10.8","90.4","24.75","13.5","5.9","9","2018-09-26 12:00","0.9"
"27","996.7","1006.4","998.2","2018-09-27 08:16","994.6","2018-09-27 14:53","27.2","31.7","2018-09-27 12:38","24.4","2018-09-27 04:51","20.8","69","54","2018-09-27 14:17","3.3","10","13.3","340","2018-09-27 14:36","0.0","0.0","0.0","2018-09-27 00:00","0.0","2018-09-27 00:00","9.9","83.0","23.10","18.0","5.2","9","2018-09-27 13:00","2.5"
"28","996.2","1005.9","997.6","2018-09-28 00:03","994.4","2018-09-28 13:43","26.6","30.0","2018-09-28 11:28","24.0","2018-09-28 23:55","21.0","71","64","2018-09-28 11:23","3.9","10","16.5","350","2018-09-28 23:48","0.0","0.0","0.0","2018-09-28 00:00","0.0","2018-09-28 00:00","10.6","89.1","24.50","14.6","6.3","9","2018-09-28 12:00","3.0"
"29","995.6","1005.3","997.8","2018-09-29 22:13","993.3","2018-09-29 13:52","26.1","29.9","2018-09-29 12:14","23.2","2018-09-29 06:14","16.5","57","40","2018-09-29 19:01","3.2","10","14.8","350","2018-09-29 09:51","0.0","0.0","0.0","2018-09-29 00:00","0.0","2018-09-29 00:00","11.0","92.6","23.95","15.3","6.8","9","2018-09-29 12:00","2.6"
"30","999.1","1008.9","1001.7","2018-09-30 22:06","997.1","2018-09-30 02:09","26.7","32.1","2018-09-30 12:49","22.4","2018-09-30 03:45","16.8","55","46","2018-09-30 11:29","1.6","340","9.2","310","2018-09-30 14:54","0.0","0.0","0.0","2018-09-30 00:00","0.0","2018-09-30 00:00","10.6","89.4","23.40","12.8","4.8","8","2018-09-30 12:00","1.1"
