"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1007.7","1017.8","1009.2","2017-03-01 08:46","1005.4","2017-03-01 15:33","18.9","22.8","2017-03-01 15:27","15.9","2017-03-01 00:58","12.3","67","49","2017-03-01 15:36","1.3","350","8.3","340","2017-03-01 12:04","T","0.2","T","2017-03-01 04:40","T","2017-03-01 04:40","8.7","75.1","19.43","10.8","3.6","6","2017-03-01 13:00","6.1"
"02","1007.4","1017.5","1009.2","2017-03-02 09:53","1005.6","2017-03-02 14:56","17.9","23.1","2017-03-02 12:30","14.1","2017-03-02 23:45","8.7","56","44","2017-03-02 13:10","2.1","350","9.6","360","2017-03-02 12:41","0.0","0.0","0.0","","0.0","","9.6","82.7","20.77","10.8","4.6","6","2017-03-02 13:00","2.6"
"03","1006.5","1016.6","1008.4","2017-03-03 08:41","1004.6","2017-03-03 15:42","17.7","22.8","2017-03-03 13:11","12.9","2017-03-03 05:08","10.4","63","46","2017-03-03 12:59","0.9","350","5.3","10","2017-03-03 13:58","0.0","0.0","0.0","","0.0","","3.3","28.4","12.50","11.3","-1.1","4","2017-03-03 13:00","8.5"
"04","1004.6","1014.6","1006.6","2017-03-04 07:03","1002.5","2017-03-04 15:13","20.8","26.4","2017-03-04 13:23","16.7","2017-03-04 04:23","13.7","65","48","2017-03-04 12:26","0.8","360","7.2","360","2017-03-04 13:57","0.3","1.7","0.3","2017-03-04 07:30","0.3","2017-03-04 07:30","6.4","54.9","16.69","11.9","2.7","5","2017-03-04 13:00","6.9"
"05","1002.5","1012.4","1004.7","2017-03-05 08:29","1000.2","2017-03-05 15:54","22.4","28.0","2017-03-05 14:14","16.8","2017-03-05 04:22","15.9","68","53","2017-03-05 14:42","0.9","240","6.8","240","2017-03-05 16:00","0.0","0.0","0.0","","0.0","","8.1","69.4","18.64","9.8","-2.4","5","2017-03-05 13:00","5.1"
"06","1003.1","1013.2","1005.1","2017-03-06 21:42","1001.2","2017-03-06 04:13","18.9","22.9","2017-03-06 00:41","15.8","2017-03-06 22:10","14.7","77","63","2017-03-06 14:47","2.2","360","10.5","340","2017-03-06 13:27","5.5","4.7","3.0","2017-03-06 04:28","3.2","2017-03-06 03:40","6.3","53.8","17.97","13.3","2.9","6","2017-03-06 12:00","6.9"
"07","1005.9","1016.1","1008.1","2017-03-07 21:47","1004.2","2017-03-07 03:28","15.7","17.7","2017-03-07 12:49","14.0","2017-03-07 21:57","11.2","75","62","2017-03-07 12:17","1.5","350","6.8","30","2017-03-07 04:41","0.2","1.5","0.2","2017-03-07 13:42","0.2","2017-03-07 13:15","0.0","0.0","2.62","10.9","-1.0","2","2017-03-07 13:00","9.9"
"08","1006.8","1017.1","1008.5","2017-03-08 11:01","1005.3","2017-03-08 04:01","15.0","16.2","2017-03-08 16:20","13.9","2017-03-08 06:26","12.5","85","79","2017-03-08 19:01","0.9","340","6.5","30","2017-03-08 05:04","8.5","6.7","1.0","2017-03-08 11:20","3.5","2017-03-08 12:58","0.0","0.0","2.68","9.5","-0.3","1","2017-03-08 14:00","9.9"
"09","1005.6","1015.7","1007.4","2017-03-09 08:03","1003.2","2017-03-09 15:49","19.0","23.4","2017-03-09 11:02","15.2","2017-03-09 01:29","14.6","76","62","2017-03-09 12:17","0.6","170","4.2","240","2017-03-09 11:27","T","0.3","T","2017-03-09 14:05","T","2017-03-09 14:05","2.7","22.9","10.88","8.8","-0.8","5","2017-03-09 11:00","9.5"
"10","1002.9","1013.0","1004.6","2017-03-10 09:23","1000.2","2017-03-10 14:32","20.5","27.0","2017-03-10 13:28","18.5","2017-03-10 01:44","16.9","80","59","2017-03-10 13:27","1.0","350","7.1","40","2017-03-10 19:45","T","0.9","T","2017-03-10 04:50","T","2017-03-10 04:50","1.9","16.1","10.63","7.0","2.7","6","2017-03-10 13:00","9.6"
