"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1002.9","1012.8","1005.1","2018-04-01 09:55","1001.2","2018-04-01 15:19","24.3","28.6","2018-04-01 14:58","20.8","2018-04-01 05:34","18.7","71","56","2018-04-01 13:02","0.8","270","7.0","340","2018-04-01 15:39","T","0.6","T","2018-04-01 08:40","T","2018-04-01 08:40","3.7","30.0","17.09","11.0","-3.6","8","2018-04-01 12:00","8.3"
"02","1003.4","1013.3","1004.9","2018-04-02 23:00","1002.0","2018-04-02 14:53","23.9","28.7","2018-04-02 13:53","20.5","2018-04-02 02:54","18.1","71","50","2018-04-02 16:01","0.9","250","7.0","240","2018-04-02 13:56","0.0","0.0","0.0","","0.0","","5.8","47.0","17.58","11.0","3.3","6","2018-04-02 11:00","5.3"
"03","1004.2","1014.1","1005.6","2018-04-03 10:35","1002.9","2018-04-03 03:23","23.6","28.2","2018-04-03 15:16","20.4","2018-04-03 01:43","18.0","71","56","2018-04-03 10:18","0.8","320","5.2","240","2018-04-03 14:59","0.0","0.0","0.0","","0.0","","3.6","29.1","13.06","11.0","2.3","5","2018-04-03 11:00","5.8"
"04","1003.2","1013.1","1005.0","2018-04-04 08:46","1001.4","2018-04-04 16:07","24.2","29.3","2018-04-04 14:58","19.7","2018-04-04 04:37","18.5","71","54","2018-04-04 15:26","0.8","350","6.8","340","2018-04-04 15:13","0.0","0.0","0.0","","0.0","","6.0","48.4","16.72","11.0","2.8","5","2018-04-04 14:00","3.5"
"05","1002.2","1012.0","1003.6","2018-04-05 09:05","1000.6","2018-04-05 15:11","25.1","30.8","2018-04-05 11:41","21.3","2018-04-05 00:45","18.8","69","49","2018-04-05 11:38","1.0","10","7.2","340","2018-04-05 14:58","0.0","0.0","0.0","","0.0","","6.9","55.6","19.67","10.5","4.6","7","2018-04-05 12:00","5.8"
"06","1004.1","1014.1","1008.7","2018-04-06 23:12","1001.0","2018-04-06 03:07","22.2","29.5","2018-04-06 10:22","16.6","2018-04-06 21:27","16.0","68","56","2018-04-06 10:21","2.3","360","11.6","20","2018-04-06 17:37","0.0","0.0","0.0","","0.0","","3.4","27.3","14.01","13.3","4.4","4","2018-04-06 11:00","8.3"
"07","1010.5","1020.7","1012.3","2018-04-07 21:23","1008.0","2018-04-07 02:56","17.1","18.4","2018-04-07 06:33","16.1","2018-04-07 22:55","8.2","56","46","2018-04-07 04:54","1.9","20","9.7","360","2018-04-07 09:31","0.0","0.0","0.0","","0.0","","0.0","0.0","3.08","12.5","3.0","1","2018-04-07 13:00","8.8"
"08","1009.6","1019.7","1011.5","2018-04-08 00:06","1008.2","2018-04-08 15:31","20.1","26.8","2018-04-08 12:12","14.7","2018-04-08 05:43","11.1","57","41","2018-04-08 02:10","1.1","190","7.8","260","2018-04-08 12:32","0.0","0.0","0.0","","0.0","","10.5","84.1","26.46","12.8","4.1","9","2018-04-08 12:00","2.8"
"09","1008.2","1018.3","1010.2","2018-04-09 00:01","1006.0","2018-04-09 15:28","20.8","28.4","2018-04-09 13:25","15.1","2018-04-09 05:05","13.6","66","37","2018-04-09 12:41","0.9","360","6.9","360","2018-04-09 14:59","0.0","0.0","0.0","","0.0","","9.6","76.7","24.81","12.9","3.5","8","2018-04-09 13:00","2.3"
"10","1005.5","1015.4","1007.8","2018-04-10 07:48","1002.9","2018-04-10 15:24","23.3","30.3","2018-04-10 12:47","16.2","2018-04-10 05:28","14.5","60","36","2018-04-10 10:35","0.9","220","5.7","220","2018-04-10 14:50","0.0","0.0","0.0","","0.0","","10.7","85.3","25.82","14.8","6.0","9","2018-04-10 12:00","1.5"
