"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1009.4","1019.8","1011.7","2018-02-01 22:26","1006.9","2018-02-01 14:41","12.9","15.9","2018-02-01 14:37","10.3","2018-02-01 05:26","10.6","86","72","2018-02-01 14:37","2.6","10","10.6","30","2018-02-01 05:34","2.5","7.1","0.5","2018-02-01 00:12","0.8","2018-02-01 02:19","0.8","7.3","9.78","10.5","-2.4","4","2018-02-01 12:00","9.1"
"02","1011.6","1021.9","1013.4","2018-02-02 23:19","1009.7","2018-02-02 02:01","13.7","17.6","2018-02-02 10:55","12.1","2018-02-02 23:05","11.0","84","73","2018-02-02 10:55","2.5","20","12.1","20","2018-02-02 12:25","0.0","0.0","0.0","","0.0","","3.0","27.2","9.79","12.5","1.5","5","2018-02-02 12:00","9.3"
"03","1012.7","1023.1","1014.3","2018-02-03 22:59","1010.9","2018-02-03 15:17","10.9","12.6","2018-02-03 11:12","8.5","2018-02-03 21:55","8.3","85","77","2018-02-03 11:12","2.8","20","10.4","360","2018-02-03 05:33","1.0","5.1","0.5","2018-02-03 21:38","1.0","2018-02-03 21:13","0.0","0.0","3.02","9.8","-0.4","1","2018-02-03 12:00","9.9"
"04","1013.2","1023.7","1014.5","2018-02-04 22:28","1011.7","2018-02-04 13:56","9.9","11.9","2018-02-04 13:20","8.4","2018-02-04 00:14","7.2","84","78","2018-02-04 11:28","2.4","20","9.9","30","2018-02-04 15:46","T","0.5","T","2018-02-04 00:05","T","2018-02-04 00:05","0.0","0.0","3.22","15.3","-2.6","2","2018-02-04 13:00","10.0"
"05","1013.8","1024.3","1015.7","2018-02-05 08:50","1012.1","2018-02-05 15:20","8.7","9.5","2018-02-05 00:01","7.9","2018-02-05 07:59","5.4","79","71","2018-02-05 20:56","2.6","20","9.6","20","2018-02-05 14:46","T","0.3","T","2018-02-05 07:55","T","2018-02-05 07:55","0.0","0.0","0.53","11.9","1.2","1","2018-02-05 14:00","9.8"
"06","1011.1","1021.5","1014.2","2018-02-06 00:58","1008.6","2018-02-06 15:37","11.2","15.8","2018-02-06 14:48","8.8","2018-02-06 04:07","5.2","67","53","2018-02-06 14:46","2.1","20","8.3","10","2018-02-06 16:41","0.0","0.0","0.0","","0.0","","2.7","24.3","12.02","11.5","-2.9","4","2018-02-06 13:00","7.0"
"07","1009.3","1019.7","1011.3","2018-02-07 10:01","1007.4","2018-02-07 03:14","11.7","13.6","2018-02-07 13:40","9.2","2018-02-07 01:20","9.5","86","73","2018-02-07 00:05","0.5","10","5.3","330","2018-02-07 05:08","1.5","10.8","0.5","2018-02-07 16:50","0.5","2018-02-07 16:00","0.0","0.0","2.85","9.8","-0.1","2","2018-02-07 12:00","10.0"
"08","1007.4","1017.7","1010.8","2018-02-08 00:28","1005.0","2018-02-08 14:26","13.8","16.9","2018-02-08 14:22","11.4","2018-02-08 05:21","12.0","89","74","2018-02-08 16:01","1.1","360","5.1","340","2018-02-08 08:34","4.0","10.2","0.5","2018-02-08 00:20","1.0","2018-02-08 00:01","0.0","0.0","7.26","10.3","-1.9","4","2018-02-08 13:00","9.9"
"09","1005.9","1016.1","1007.7","2018-02-09 08:07","1003.7","2018-02-09 14:14","15.9","20.7","2018-02-09 14:12","13.7","2018-02-09 02:17","14.8","93","77","2018-02-09 12:16","1.0","360","8.3","360","2018-02-09 15:06","0.5","6.2","0.5","2018-02-09 04:12","0.5","2018-02-09 04:12","1.6","14.3","10.31","7.9","-1.1","...","","8.9"
"10","1006.6","1016.8","1009.0","2018-02-10 23:59","1004.1","2018-02-10 15:25","17.2","21.6","2018-02-10 13:12","14.2","2018-02-10 23:54","15.5","90","77","2018-02-10 13:31","1.6","350","10.6","360","2018-02-10 23:18","T","1.6","T","2018-02-10 21:15","T","2018-02-10 21:15","1.2","10.7","11.09","7.5","-2.2","...","","9.5"
"11","1010.7","1021.1","1014.2","2018-02-11 23:52","1008.7","2018-02-11 03:00","14.2","17.9","2018-02-11 13:50","12.1","2018-02-11 04:10","11.1","83","68","2018-02-11 14:35","2.9","10","10.3","20","2018-02-11 00:35","1.0","7.2","0.3","2018-02-11 03:40","0.5","2018-02-11 03:07","1.0","8.9","11.37","12.1","2.2","6","2018-02-11 12:00","9.1"
"12","1014.0","1024.3","1016.0","2018-02-12 09:16","1011.7","2018-02-12 15:34","14.7","20.4","2018-02-12 14:24","11.9","2018-02-12 06:44","8.5","67","48","2018-02-12 23:46","1.9","360","8.9","360","2018-02-12 16:05","0.0","0.0","0.0","","0.0","","4.8","42.8","12.96","12.1","2.7","6","2018-02-12 13:00","7.9"
"13","1012.7","1022.9","1014.6","2018-02-13 00:18","1009.9","2018-02-13 14:37","16.1","22.1","2018-02-13 13:11","10.1","2018-02-13 06:42","10.0","68","51","2018-02-13 14:26","1.0","320","6.2","220","2018-02-13 15:19","0.0","0.0","0.0","","0.0","","7.9","70.3","17.47","11.0","2.4","6","2018-02-13 13:00","5.1"
"14","1009.3","1019.4","1012.1","2018-02-14 00:01","1006.1","2018-02-14 14:40","18.0","25.9","2018-02-14 13:27","12.5","2018-02-14 04:20","12.3","73","39","2018-02-14 14:59","0.7","210","6.1","260","2018-02-14 14:33","0.0","0.0","0.0","","0.0","","9.1","80.9","18.56","9.5","1.8","7","2018-02-14 12:00","4.8"
"15","1006.5","1016.5","1008.9","2018-02-15 00:33","1003.1","2018-02-15 15:05","21.0","30.4","2018-02-15 13:57","13.9","2018-02-15 05:36","13.8","67","37","2018-02-15 14:09","0.8","240","6.7","360","2018-02-15 16:15","0.0","0.0","0.0","","0.0","","9.9","87.8","19.97","12.5","3.9","7","2018-02-15 13:00","2.3"
"16","1004.7","1014.6","1006.2","2018-02-16 00:01","1002.8","2018-02-16 14:24","22.1","28.7","2018-02-16 12:06","17.0","2018-02-16 06:38","16.9","74","51","2018-02-16 11:47","1.1","350","6.5","360","2018-02-16 13:58","0.0","0.0","0.0","","0.0","","8.0","70.8","18.76","10.3","3.1","8","2018-02-16 13:00","5.4"
"17","1006.0","1016.1","1008.5","2018-02-17 23:15","1004.1","2018-02-17 04:13","19.5","24.3","2018-02-17 14:48","16.8","2018-02-17 23:59","15.0","76","59","2018-02-17 12:10","1.6","350","7.5","330","2018-02-17 12:40","0.0","0.0","0.0","","0.0","","8.5","75.1","19.49","12.8","4.2","7","2018-02-17 13:00","2.5"
"18","1007.6","1017.7","1010.2","2018-02-18 08:15","1005.0","2018-02-18 15:24","20.6","27.4","2018-02-18 13:58","15.6","2018-02-18 05:39","15.0","72","45","2018-02-18 15:07","1.0","350","7.0","360","2018-02-18 11:32","0.0","0.0","0.0","","0.0","","9.9","87.3","19.67","11.8","4.1","7","2018-02-18 13:00","3.1"
"19","1006.2","1016.2","1009.2","2018-02-19 09:22","1002.9","2018-02-19 15:23","21.8","30.5","2018-02-19 15:17","16.1","2018-02-19 05:47","15.1","68","39","2018-02-19 15:43","0.6","330","6.7","360","2018-02-19 16:34","0.0","0.0","0.0","","0.0","","8.2","72.2","18.27","11.6","2.9","7","2018-02-19 13:00","2.8"
"20","1004.6","1014.7","1006.6","2018-02-20 10:14","1001.9","2018-02-20 15:49","20.3","26.3","2018-02-20 15:26","16.0","2018-02-20 06:42","15.8","76","56","2018-02-20 15:17","0.9","320","5.7","310","2018-02-20 10:14","0.0","0.0","0.0","","0.0","","8.4","73.8","18.43","8.9","4.1","6","2018-02-20 13:00","6.0"
"21","1004.3","1014.4","1005.8","2018-02-21 08:55","1001.8","2018-02-21 15:23","18.7","22.4","2018-02-21 11:27","16.3","2018-02-21 06:20","14.9","79","66","2018-02-21 11:27","2.0","350","8.8","360","2018-02-21 12:11","0.0","0.0","0.0","","0.0","","8.0","70.2","18.52","11.3","-3.4","7","2018-02-21 13:00","7.0"
