"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","995.0","1004.7","996.4","2018-07-01 00:01","993.1","2018-07-01 13:30","27.0","33.4","2018-07-01 11:59","23.7","2018-07-01 04:25","24.9","89","62","2018-07-01 11:00","1.2","210","7.0","160","2018-07-01 15:41","13.0","3.3","6.5","2018-07-01 19:04","8.5","2018-07-01 18:27","4.5","33.2","16.77","12.0","-0.6","9","2018-07-01 11:00","7.0"
"02","994.9","1004.6","996.2","2018-07-02 11:11","993.5","2018-07-02 16:43","25.0","26.8","2018-07-02 23:30","23.8","2018-07-02 12:42","24.2","95","83","2018-07-02 23:30","0.8","150","5.7","140","2018-07-02 15:28","67.5","11.3","4.5","2018-07-02 04:37","14.5","2018-07-02 06:11","0.3","2.2","1.95","11.6","-0.5","0","2018-07-02 15:00","9.5"
"03","994.4","1004.2","996.1","2018-07-03 08:21","993.1","2018-07-03 16:01","26.2","29.2","2018-07-03 15:05","24.4","2018-07-03 03:31","25.0","94","83","2018-07-03 01:38","0.9","170","9.4","200","2018-07-03 13:27","46.0","5.9","4.0","2018-07-03 07:38","12.5","2018-07-03 07:55","0.5","3.7","7.19","11.6","-4.1","4","2018-07-03 12:00","9.2"
"04","994.3","1004.1","995.9","2018-07-04 09:19","993.0","2018-07-04 14:25","26.0","29.7","2018-07-04 14:05","25.1","2018-07-04 04:42","24.5","92","77","2018-07-04 14:08","0.9","170","7.0","160","2018-07-04 09:24","31.0","5.7","6.0","2018-07-04 15:16","14.5","2018-07-04 14:29","0.1","0.7","6.15","12.3","-1.0","6","2018-07-04 14:00","9.5"
"05","994.2","1003.9","995.9","2018-07-05 10:51","992.9","2018-07-05 16:28","27.1","30.0","2018-07-05 09:48","25.1","2018-07-05 13:24","24.7","87","76","2018-07-05 09:35","1.1","170","8.0","260","2018-07-05 12:46","13.0","3.4","4.0","2018-07-05 12:46","10.5","2018-07-05 12:46","0.5","3.7","7.81","10.8","-6.7","4","2018-07-05 10:00","9.5"
"06","994.2","1003.8","995.5","2018-07-06 08:22","992.8","2018-07-06 15:44","28.7","32.9","2018-07-06 13:28","25.5","2018-07-06 02:26","23.9","76","60","2018-07-06 12:08","1.6","160","8.3","250","2018-07-06 14:44","T","0.1","T","2018-07-06 07:16","T","2018-07-06 07:16","4.2","31.0","18.94","17.0","5.0","9","2018-07-06 12:00","7.0"
"07","995.3","1005.0","997.4","2018-07-07 21:20","993.3","2018-07-07 15:14","27.8","33.6","2018-07-07 13:45","24.1","2018-07-07 23:20","24.5","83","63","2018-07-07 12:39","1.2","130","10.0","160","2018-07-07 16:41","40.0","4.1","8.0","2018-07-07 16:51","18.5","2018-07-07 16:37","4.9","36.2","19.07","15.0","-1.5","8","2018-07-07 12:00","8.6"
"08","996.7","1006.4","998.5","2018-07-08 21:44","995.4","2018-07-08 15:48","28.5","33.2","2018-07-08 11:29","23.8","2018-07-08 05:05","24.1","78","60","2018-07-08 14:44","0.8","210","6.2","360","2018-07-08 16:33","0.0","0.0","0.0","","0.0","","7.4","54.7","22.31","16.1","4.7","9","2018-07-08 11:00","5.9"
"09","996.7","1006.4","998.4","2018-07-09 07:13","994.7","2018-07-09 18:10","29.5","33.5","2018-07-09 13:12","25.5","2018-07-09 05:01","25.0","78","61","2018-07-09 14:00","1.3","360","8.3","20","2018-07-09 14:50","0.0","0.0","0.0","","0.0","","9.1","67.4","23.97","14.9","4.7","9","2018-07-09 14:00","4.2"
"10","993.2","1002.8","996.2","2018-07-10 00:13","989.1","2018-07-10 23:57","28.9","32.1","2018-07-10 14:32","25.8","2018-07-10 23:43","25.5","82","62","2018-07-10 11:16","2.0","350","11.5","30","2018-07-10 23:55","8.0","2.8","4.0","2018-07-10 22:44","7.5","2018-07-10 22:43","3.4","25.2","15.50","10.5","-0.6","8","2018-07-10 14:00","7.8"
