"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","994.9","1004.6","996.2","2017-06-01 09:05","992.9","2017-06-01 17:31","26.8","28.7","2017-06-01 09:33","25.8","2017-06-01 18:08","24.1","86","74","2017-06-01 07:40","2.0","180","7.7","170","2017-06-01 11:55","40.0","7.3","6.0","2017-06-01 17:41","16.5","2017-06-01 17:25","0.4","3.0","6.71","11.9","-0.9","4","2017-06-01 13:00","9.6"
"02","994.3","1004.0","998.0","2017-06-02 21:10","992.8","2017-06-02 14:31","26.7","29.3","2017-06-02 12:34","23.0","2017-06-02 22:19","25.1","91","84","2017-06-02 12:25","2.5","190","16.3","240","2017-06-02 20:04","36.0","9.9","13.5","2017-06-02 20:00","18.0","2017-06-02 19:59","0.0","0.0","3.65","8.8","/","3","2017-06-02 13:00","9.6"
"03","994.8","1004.5","996.5","2017-06-03 08:55","992.8","2017-06-03 17:46","25.2","27.8","2017-06-03 13:30","23.1","2017-06-03 01:13","24.4","95","91","2017-06-03 10:32","1.0","140","9.7","260","2017-06-03 13:55","171.5","12.3","15.5","2017-06-03 17:37","55.0","2017-06-03 16:50","0.1","0.7","4.88","10.8","/","3","2017-06-03 11:00","9.9"
"04","996.9","1006.7","999.1","2017-06-04 22:25","995.0","2017-06-04 01:15","25.7","29.3","2017-06-04 09:10","24.2","2017-06-04 20:20","24.5","93","78","2017-06-04 09:10","0.7","180","9.0","160","2017-06-04 11:32","57.5","5.6","11.5","2017-06-04 12:07","35.5","2017-06-04 11:40","0.2","1.5","7.47","13.1","/","3","2017-06-04 15:00","9.4"
"05","999.2","1009.0","1001.2","2017-06-05 23:00","997.8","2017-06-05 02:27","27.3","31.0","2017-06-05 13:16","24.2","2017-06-05 02:26","24.9","88","74","2017-06-05 13:19","0.8","180","7.0","250","2017-06-05 09:09","3.0","1.1","1.0","2017-06-05 00:55","2.0","2017-06-05 09:10","1.4","10.4","13.78","11.4","-0.7","7","2017-06-05 12:00","8.9"
"06","1000.9","1010.6","1001.9","2017-06-06 06:29","999.1","2017-06-06 15:48","28.7","33.7","2017-06-06 12:16","24.9","2017-06-06 04:18","24.2","77","61","2017-06-06 13:04","1.3","230","8.2","160","2017-06-06 17:04","0.0","0.0","0.0","","0.0","","8.8","65.0","24.15","13.4","6.7","9","2017-06-06 11:00","6.8"
"07","1001.1","1010.8","1002.6","2017-06-07 08:10","999.0","2017-06-07 14:52","29.5","34.5","2017-06-07 12:39","25.2","2017-06-07 03:49","24.3","74","60","2017-06-07 12:42","1.2","260","6.9","250","2017-06-07 13:30","0.0","0.0","0.0","","0.0","","8.8","65.0","25.63","13.9","5.5","8","2017-06-07 12:00","4.1"
"08","1001.2","1010.9","1002.4","2017-06-08 07:22","999.3","2017-06-08 16:09","29.2","33.0","2017-06-08 13:27","25.8","2017-06-08 05:28","24.2","75","61","2017-06-08 14:58","1.0","340","6.6","300","2017-06-08 13:15","0.0","0.0","0.0","","0.0","","8.4","62.0","22.75","13.6","5.8","7","2017-06-08 14:00","4.0"
"09","1000.7","1010.4","1001.8","2017-06-09 22:59","999.2","2017-06-09 16:44","29.4","32.9","2017-06-09 13:13","25.9","2017-06-09 04:31","23.7","72","60","2017-06-09 10:27","1.1","250","6.3","260","2017-06-09 13:02","0.0","0.0","0.0","","0.0","","7.5","55.4","20.91","11.6","3.7","8","2017-06-09 11:00","5.0"
"10","999.7","1009.4","1001.7","2017-06-10 00:01","997.9","2017-06-10 15:47","29.4","33.7","2017-06-10 11:34","26.1","2017-06-10 05:12","24.8","77","62","2017-06-10 09:55","1.2","240","8.4","230","2017-06-10 15:59","0.5","0.9","0.5","2017-06-10 19:02","0.5","2017-06-10 18:55","9.1","67.1","26.89","13.3","-6.1","11","2017-06-10 12:00","4.6"
