"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1011.0","1021.2","1013.4","2019-02-01 09:53","1009.4","2019-02-01 15:26","17.1","20.6","2019-02-01 15:02","15.1","2019-02-01 05:18","11.4","69","58","2019-02-01 12:34","2.2","350","9.1","330","2019-02-01 12:55","T","0.2","T","2019-02-01 19:10","T","2019-02-01 19:10","2.1","19.1","10.50","11.6","-3.2","6","2019-02-01 13:00","7.7"
"02","1008.8","1019.0","1011.1","2019-02-02 00:13","1006.4","2019-02-02 16:14","18.8","26.8","2019-02-02 13:21","14.3","2019-02-02 06:27","14.0","75","52","2019-02-02 12:12","1.0","340","6.6","350","2019-02-02 14:27","0.0","0.0","0.0","2019-02-02 00:00","0.0","2019-02-02 00:00","8.0","72.6","17.89","8.8","4.8","7","2019-02-02 13:00","2.3"
"03","1007.8","1017.8","1009.2","2019-02-03 08:52","1006.5","2019-02-03 13:32","21.8","31.7","2019-02-03 12:21","16.0","2019-02-03 02:19","17.2","77","40","2019-02-03 12:16","0.6","340","6.6","30","2019-02-03 14:38","T","0.4","T","2019-02-03 18:20","T","2019-02-03 18:20","6.8","61.6","16.64","7.8","-2.1","7","2019-02-03 13:00","4.5"
"04","1008.1","1018.1","1010.5","2019-02-04 09:49","1006.2","2019-02-04 15:25","21.3","26.4","2019-02-04 13:49","17.8","2019-02-04 22:36","17.0","77","57","2019-02-04 13:43","1.3","330","7.0","310","2019-02-04 17:10","0.0","0.0","0.0","2019-02-04 00:00","0.0","2019-02-04 00:00","2.9","26.2","13.06","9.5","3.6","8","2019-02-04 13:00","8.4"
"05","1006.8","1016.9","1008.9","2019-02-05 08:18","1003.9","2019-02-05 14:47","20.1","26.4","2019-02-05 15:22","16.6","2019-02-05 05:20","15.8","77","58","2019-02-05 14:43","1.2","320","6.2","300","2019-02-05 16:39","0.0","0.0","0.0","2019-02-05 00:00","0.0","2019-02-05 00:00","4.2","37.9","13.25","7.6","2.5","7","2019-02-05 12:00","6.5"
"06","1004.7","1014.7","1007.7","2019-02-06 00:01","1002.3","2019-02-06 14:41","21.6","28.9","2019-02-06 13:08","17.1","2019-02-06 04:51","16.6","74","48","2019-02-06 11:58","0.9","340","6.8","340","2019-02-06 15:20","0.0","0.0","0.0","2019-02-06 00:00","0.0","2019-02-06 00:00","8.8","79.3","18.87","10.0","2.3","7","2019-02-06 13:00","0.9"
"07","1005.5","1015.5","1008.2","2019-02-07 08:54","1002.3","2019-02-07 15:12","23.2","31.5","2019-02-07 14:29","17.5","2019-02-07 05:47","16.2","69","26","2019-02-07 14:52","1.0","190","6.8","220","2019-02-07 15:45","0.0","0.0","0.0","2019-02-07 00:00","0.0","2019-02-07 00:00","9.4","84.6","19.44","11.1","5.8","7","2019-02-07 13:00","1.2"
"08","1006.6","1016.6","1008.5","2019-02-08 23:04","1003.8","2019-02-08 15:22","19.9","25.2","2019-02-08 12:13","17.1","2019-02-08 04:45","14.6","72","53","2019-02-08 12:12","1.8","350","8.1","330","2019-02-08 17:46","0.0","0.0","0.0","2019-02-08 00:00","0.0","2019-02-08 00:00","9.3","83.5","19.04","10.5","3.9","7","2019-02-08 13:00","3.1"
"09","1008.8","1018.9","1010.8","2019-02-09 21:47","1006.7","2019-02-09 04:54","19.2","23.2","2019-02-09 15:04","16.8","2019-02-09 21:48","14.3","74","62","2019-02-09 10:49","1.5","340","7.9","340","2019-02-09 17:00","0.0","0.0","0.0","2019-02-09 00:00","0.0","2019-02-09 00:00","3.3","29.6","9.88","11.5","2.0","3","2019-02-09 14:00","6.8"
"10","1011.7","1021.9","1013.7","2019-02-10 22:28","1009.8","2019-02-10 03:47","19.0","25.0","2019-02-10 14:08","15.7","2019-02-10 02:03","14.1","74","56","2019-02-10 14:07","1.5","340","6.0","330","2019-02-10 17:44","0.0","0.0","0.0","2019-02-10 00:00","0.0","2019-02-10 00:00","2.4","21.5","12.47","13.8","1.8","5","2019-02-10 13:00","7.5"
