"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1009.0","1019.2","1011.4","2018-01-01 09:20","1006.3","2018-01-01 15:23","18.1","25.4","2018-01-01 13:51","14.2","2018-01-01 06:29","12.5","71","48","2018-01-01 13:50","1.3","350","7.5","340","2018-01-01 17:57","0.0","0.0","0.0","","0.0","","8.2","77.2","14.37","11.3","3.0","5","2018-01-01 13:00","3.1"
"02","1008.3","1018.4","1010.4","2018-01-02 08:59","1005.8","2018-01-02 14:32","18.9","26.6","2018-01-02 12:48","13.6","2018-01-02 06:41","14.8","79","45","2018-01-02 11:31","0.8","340","7.1","30","2018-01-02 14:00","0.0","0.0","0.0","","0.0","","9.6","90.3","15.33","10.5","2.6","5","2018-01-02 13:00","0.5"
"03","1008.3","1018.4","1010.9","2018-01-03 08:45","1005.7","2018-01-03 14:09","18.9","25.7","2018-01-03 14:06","14.7","2018-01-03 06:14","15.6","82","55","2018-01-03 14:04","0.8","160","6.0","320","2018-01-03 14:43","0.0","0.0","0.0","","0.0","","6.1","57.3","13.63","8.0","2.1","4","2018-01-03 13:00","2.9"
"04","1007.1","1017.2","1009.4","2018-01-04 09:04","1005.1","2018-01-04 13:36","18.7","22.4","2018-01-04 11:46","17.1","2018-01-04 06:17","17.0","90","69","2018-01-04 11:43","0.9","330","7.4","30","2018-01-04 12:52","4.0","9.6","0.5","2018-01-04 17:07","1.5","2018-01-04 17:08","0.3","2.8","6.31","6.0","-0.6","3","2018-01-04 13:00","9.3"
"05","1005.6","1015.7","1007.8","2018-01-05 09:36","1003.6","2018-01-05 15:16","18.4","21.5","2018-01-05 12:14","17.2","2018-01-05 00:40","16.8","90","79","2018-01-05 13:54","1.4","360","7.8","360","2018-01-05 15:58","0.5","5.3","0.5","2018-01-05 09:43","0.5","2018-01-05 08:53","0.6","5.6","8.74","11.4","-0.7","4","2018-01-05 13:00","9.3"
"06","1004.9","1015.0","1006.6","2018-01-06 09:07","1003.5","2018-01-06 15:19","18.0","20.5","2018-01-06 11:39","16.9","2018-01-06 06:02","16.8","93","79","2018-01-06 11:36","0.7","340","5.3","340","2018-01-06 06:01","15.5","10.9","2.5","2018-01-06 20:25","6.0","2018-01-06 19:37","0.0","0.0","2.79","9.1","/","2","2018-01-06 11:00","10.0"
"07","1004.2","1014.3","1006.0","2018-01-07 08:25","1002.7","2018-01-07 18:06","18.1","19.7","2018-01-07 11:22","16.8","2018-01-07 07:15","17.3","95","82","2018-01-07 13:06","0.8","10","10.6","350","2018-01-07 07:03","16.5","12.4","1.5","2018-01-07 04:51","4.0","2018-01-07 04:07","0.0","0.0","1.71","9.9","-0.2","1","2018-01-07 10:00","9.8"
"08","1004.4","1014.5","1008.8","2018-01-08 23:36","1001.4","2018-01-08 07:26","18.6","21.7","2018-01-08 11:23","14.8","2018-01-08 23:57","18.1","97","88","2018-01-08 11:04","1.0","20","9.3","340","2018-01-08 11:30","28.5","12.6","3.0","2018-01-08 11:37","7.5","2018-01-08 11:17","0.0","0.0","0.60","7.0","-0.8","1","2018-01-08 14:00","10.0"
"09","1010.5","1020.9","1012.9","2018-01-09 21:26","1007.8","2018-01-09 00:20","11.9","15.5","2018-01-09 01:14","10.7","2018-01-09 09:57","10.8","93","81","2018-01-09 22:23","2.4","360","10.3","360","2018-01-09 03:03","24.5","22.2","1.5","2018-01-09 02:04","5.5","2018-01-09 01:37","0.0","0.0","2.03","8.0","-0.5","1","2018-01-09 13:00","10.0"
"10","1013.1","1023.5","1015.4","2018-01-10 09:32","1010.7","2018-01-10 13:37","12.8","17.7","2018-01-10 13:17","9.8","2018-01-10 04:26","5.4","62","45","2018-01-10 22:47","2.3","360","11.9","340","2018-01-10 15:51","1.0","2.7","0.5","2018-01-10 01:08","0.5","2018-01-10 01:08","6.1","57.0","14.26","12.5","2.5","5","2018-01-10 13:00","7.4"
"11","1014.1","1024.6","1016.0","2018-01-11 21:34","1011.7","2018-01-11 14:31","12.7","18.6","2018-01-11 13:27","9.7","2018-01-11 23:38","4.9","60","42","2018-01-11 13:21","2.5","20","12.8","10","2018-01-11 19:37","0.0","0.0","0.0","","0.0","","5.6","52.3","12.80","14.3","3.0","5","2018-01-11 13:00","3.8"
"12","1015.3","1025.7","1016.9","2018-01-12 08:33","1012.9","2018-01-12 15:17","12.0","17.9","2018-01-12 12:52","8.4","2018-01-12 05:06","3.2","56","38","2018-01-12 12:44","2.8","10","10.4","10","2018-01-12 13:38","0.0","0.0","0.0","","0.0","","9.5","88.6","17.24","14.9","3.8","5","2018-01-12 13:00","0.5"
"13","1014.6","1025.0","1017.1","2018-01-13 09:28","1011.7","2018-01-13 14:44","12.3","19.9","2018-01-13 14:21","6.1","2018-01-13 06:27","5.8","67","38","2018-01-13 13:46","0.7","350","6.5","320","2018-01-13 15:16","0.0","0.0","0.0","","0.0","","9.9","92.3","16.68","16.3","1.3","5","2018-01-13 13:00","0.0"
"14","1011.5","1021.8","1014.6","2018-01-14 00:25","1008.7","2018-01-14 15:05","14.6","22.6","2018-01-14 13:08","8.0","2018-01-14 06:44","9.5","75","35","2018-01-14 13:02","0.8","330","7.7","300","2018-01-14 16:11","0.0","0.0","0.0","","0.0","","9.8","91.3","16.74","13.1","2.0","5","2018-01-14 13:00","0.0"
"15","1008.0","1018.2","1010.7","2018-01-15 08:54","1005.3","2018-01-15 14:56","16.5","23.6","2018-01-15 13:01","10.7","2018-01-15 06:50","13.3","83","53","2018-01-15 12:19","0.8","330","6.7","360","2018-01-15 17:30","0.0","0.0","0.0","","0.0","","9.4","87.4","16.63","13.1","1.9","5","2018-01-15 12:00","3.1"
"16","1004.5","1014.5","1006.8","2018-01-16 09:02","1002.0","2018-01-16 16:19","19.5","25.8","2018-01-16 13:13","13.7","2018-01-16 06:14","12.8","69","27","2018-01-16 14:38","0.5","320","4.2","320","2018-01-16 12:51","0.0","0.0","0.0","","0.0","","1.3","12.1","9.92","10.9","-2.0","4","2018-01-16 13:00","8.8"
"17","1003.9","1013.9","1005.7","2018-01-17 08:47","1002.3","2018-01-17 15:19","21.4","26.1","2018-01-17 13:46","17.6","2018-01-17 06:30","16.7","75","56","2018-01-17 13:27","0.7","320","5.8","330","2018-01-17 16:15","T","0.6","T","2018-01-17 04:15","T","2018-01-17 04:15","2.1","19.5","10.79","11.0","2.1","4","2018-01-17 12:00","8.0"
