"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1003.0","1012.8","1005.2","2018-05-01 08:37","1001.4","2018-05-01 16:17","27.7","32.5","2018-05-01 13:41","23.7","2018-05-01 05:23","22.8","75","61","2018-05-01 11:49","1.5","240","7.3","240","2018-05-01 13:41","0.0","0.0","0.0","","0.0","","5.2","40.0","20.50","12.0","5.2","7","2018-05-01 14:00","6.9"
"02","1002.5","1012.2","1004.4","2018-05-02 07:25","1000.8","2018-05-02 16:59","28.6","33.4","2018-05-02 12:18","25.7","2018-05-02 05:46","23.0","73","54","2018-05-02 11:21","1.7","240","7.5","230","2018-05-02 13:52","0.0","0.0","0.0","","0.0","","8.7","66.8","24.29","13.9","6.5","9","2018-05-02 13:00","4.6"
"03","1004.1","1013.9","1006.1","2018-05-03 22:24","1002.8","2018-05-03 02:50","26.8","31.1","2018-05-03 12:22","22.4","2018-05-03 23:43","20.6","70","50","2018-05-03 17:13","1.5","340","9.8","340","2018-05-03 14:35","0.0","0.0","0.0","","0.0","","5.7","43.7","21.01","12.4","-3.8","8","2018-05-03 12:00","6.8"
"04","1005.6","1015.4","1007.2","2018-05-04 22:16","1004.3","2018-05-04 15:28","25.9","30.9","2018-05-04 15:03","21.0","2018-05-04 03:00","20.9","75","59","2018-05-04 15:40","0.8","190","5.6","340","2018-05-04 00:11","1.0","1.2","1.0","2018-05-04 02:17","1.0","2018-05-04 02:17","0.8","6.1","11.38","10.5","3.1","6","2018-05-04 11:00","8.4"
"05","1006.0","1015.8","1007.7","2018-05-05 07:57","1004.0","2018-05-05 15:24","27.5","33.0","2018-05-05 12:26","24.3","2018-05-05 05:37","20.6","67","50","2018-05-05 15:03","1.2","250","6.9","250","2018-05-05 15:52","0.0","0.0","0.0","","0.0","","8.2","62.7","21.72","15.1","4.8","7","2018-05-05 11:00","6.6"
"06","1002.3","1012.0","1005.6","2018-05-06 00:01","999.7","2018-05-06 16:01","28.8","34.0","2018-05-06 11:28","24.0","2018-05-06 05:22","22.2","68","51","2018-05-06 09:48","1.8","200","8.3","220","2018-05-06 11:59","0.0","0.0","0.0","","0.0","","7.5","57.3","23.78","13.3","5.5","10","2018-05-06 12:00","6.0"
"07","999.2","1008.9","1001.4","2018-05-07 08:33","997.3","2018-05-07 14:37","29.1","33.0","2018-05-07 14:30","26.9","2018-05-07 00:42","23.2","71","56","2018-05-07 14:28","2.3","180","9.2","230","2018-05-07 14:37","0.0","0.0","0.0","","0.0","","0.4","3.0","11.07","14.5","-1.2","5","2018-05-07 12:00","8.6"
"08","999.6","1009.4","1001.9","2018-05-08 22:01","997.4","2018-05-08 02:13","25.8","30.0","2018-05-08 12:17","22.0","2018-05-08 04:23","22.9","85","68","2018-05-08 12:10","1.3","340","7.2","350","2018-05-08 02:56","34.0","4.0","8.0","2018-05-08 04:19","18.5","2018-05-08 03:34","1.4","10.7","11.01","16.9","-2.6","6","2018-05-08 11:00","9.4"
"09","1004.0","1013.9","1006.5","2018-05-09 21:50","1000.7","2018-05-09 02:45","22.6","25.4","2018-05-09 00:03","20.7","2018-05-09 09:10","21.1","91","79","2018-05-09 05:30","1.1","320","5.2","10","2018-05-09 12:05","38.0","7.0","7.0","2018-05-09 11:26","11.5","2018-05-09 10:40","0.0","0.0","3.51","10.9","-0.5","2","2018-05-09 13:00","8.6"
"10","1004.8","1014.7","1006.6","2018-05-10 08:46","1002.8","2018-05-10 16:27","24.7","30.5","2018-05-10 12:57","20.3","2018-05-10 05:10","19.1","72","55","2018-05-10 13:15","1.4","340","7.9","360","2018-05-10 18:44","0.0","0.0","0.0","","0.0","","8.7","66.0","26.01","13.3","5.5","9","2018-05-10 13:00","4.6"
