"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1002.2","1012.0","1003.8","2018-10-01 21:41","1000.4","2018-10-01 15:00","26.7","32.6","2018-10-01 13:59","22.8","2018-10-01 05:32","17.1","57","32","2018-10-01 14:18","0.9","350","7.2","350","2018-10-01 15:10","0.0","0.0","0.0","2018-10-01 00:00","0.0","2018-10-01 00:00","9.7","82.0","20.52","12.9","5.6","7","2018-10-01 13:00","2.1"
"02","1003.4","1013.2","1005.1","2018-10-02 09:20","1001.7","2018-10-02 14:36","25.5","30.9","2018-10-02 13:40","21.9","2018-10-02 05:43","16.2","57","43","2018-10-02 13:26","1.7","350","9.2","20","2018-10-02 15:39","0.0","0.0","0.0","2018-10-02 00:00","0.0","2018-10-02 00:00","10.3","87.2","22.47","15.3","5.2","7","2018-10-02 12:00","0.2"
"03","1002.5","1012.4","1004.6","2018-10-03 08:16","1000.2","2018-10-03 14:12","25.4","31.8","2018-10-03 13:35","20.6","2018-10-03 05:08","15.1","54","39","2018-10-03 10:34","1.9","10","10.8","360","2018-10-03 15:59","0.0","0.0","0.0","2018-10-03 00:00","0.0","2018-10-03 00:00","10.7","90.8","23.60","14.8","5.7","8","2018-10-03 12:00","2.3"
"04","1000.2","1010.1","1002.7","2018-10-04 00:02","998.5","2018-10-04 23:55","24.4","28.2","2018-10-04 11:24","22.9","2018-10-04 04:48","16.8","63","54","2018-10-04 09:51","3.7","360","15.9","10","2018-10-04 14:14","0.0","0.0","0.0","2018-10-04 00:00","0.0","2018-10-04 00:00","8.1","68.9","22.43","16.1","6.6","9","2018-10-04 12:00","4.2"
"05","999.5","1009.3","1002.3","2018-10-05 22:29","997.8","2018-10-05 03:04","25.3","29.5","2018-10-05 12:33","21.2","2018-10-05 06:11","17.1","61","49","2018-10-05 13:04","1.8","330","10.4","350","2018-10-05 00:44","0.0","0.0","0.0","2018-10-05 00:00","0.0","2018-10-05 00:00","10.9","92.9","23.53","13.5","4.3","9","2018-10-05 12:00","0.4"
"06","1002.7","1012.4","1004.1","2018-10-06 22:24","1001.3","2018-10-06 14:25","27.0","32.1","2018-10-06 13:24","22.3","2018-10-06 05:59","19.8","65","51","2018-10-06 13:15","0.9","330","6.0","350","2018-10-06 16:09","0.0","0.0","0.0","2018-10-06 00:00","0.0","2018-10-06 00:00","9.7","82.8","20.30","11.1","5.3","6","2018-10-06 12:00","2.8"
"07","1003.4","1013.2","1005.3","2018-10-07 08:56","1001.1","2018-10-07 14:44","26.5","32.2","2018-10-07 13:39","23.3","2018-10-07 06:11","20.3","69","52","2018-10-07 13:33","1.3","330","8.2","350","2018-10-07 15:18","0.0","0.0","0.0","2018-10-07 00:00","0.0","2018-10-07 00:00","9.8","83.8","21.91","14.3","5.3","8","2018-10-07 12:00","3.2"
"08","1002.9","1012.7","1004.8","2018-10-08 08:22","1000.7","2018-10-08 15:05","26.6","32.0","2018-10-08 13:31","23.0","2018-10-08 03:52","20.8","71","55","2018-10-08 14:04","1.2","310","7.4","330","2018-10-08 15:26","0.0","0.0","0.0","2018-10-08 00:00","0.0","2018-10-08 00:00","10.3","88.3","22.58","12.9","5.2","8","2018-10-08 12:00","2.0"
"09","1002.4","1012.2","1003.8","2018-10-09 08:03","1000.2","2018-10-09 14:27","26.7","31.3","2018-10-09 14:14","23.4","2018-10-09 04:48","21.5","74","58","2018-10-09 16:26","1.0","310","7.4","20","2018-10-09 13:11","0.0","0.0","0.0","2018-10-09 00:00","0.0","2018-10-09 00:00","7.5","64.4","18.47","10.3","3.4","6","2018-10-09 13:00","3.8"
"10","1002.9","1012.7","1005.0","2018-10-10 23:46","1000.2","2018-10-10 14:48","26.9","31.9","2018-10-10 13:33","24.2","2018-10-10 23:58","20.4","69","51","2018-10-10 14:17","1.5","320","9.2","350","2018-10-10 17:38","0.0","0.0","0.0","2018-10-10 00:00","0.0","2018-10-10 00:00","7.1","61.1","18.87","11.8","5.2","6","2018-10-10 12:00","6.8"
