"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1002.3","1011.9","1004.5","2017-10-01 09:03","999.6","2017-10-01 14:31","30.2","35.8","2017-10-01 12:52","26.1","2017-10-01 05:37","24.4","72","48","2017-10-01 12:47","0.9","330","6.4","320","2017-10-01 15:21","0.0","0.0","0.0","","0.0","","9.6","81.1","20.62","10.3","5.5","8","2017-10-01 12:00","4.9"
"02","1001.7","1011.4","1003.3","2017-10-02 23:13","999.6","2017-10-02 14:45","30.2","34.9","2017-10-02 12:18","27.4","2017-10-02 06:19","25.0","75","56","2017-10-02 14:36","1.0","360","5.7","240","2017-10-02 12:58","0.0","0.0","0.0","","0.0","","6.4","54.2","14.40","10.8","4.7","5","2017-10-02 12:00","4.9"
"03","1002.6","1012.3","1004.2","2017-10-03 21:54","1001.0","2017-10-03 16:03","29.9","34.6","2017-10-03 11:47","27.6","2017-10-03 05:36","25.0","76","58","2017-10-03 11:46","1.4","350","7.6","320","2017-10-03 14:13","0.0","0.0","0.0","","0.0","","6.3","53.5","16.90","10.0","-2.8","7","2017-10-03 12:00","4.9"
"04","1003.4","1013.2","1005.7","2017-10-04 10:17","1002.0","2017-10-04 17:07","28.1","30.1","2017-10-04 16:12","25.7","2017-10-04 23:06","24.0","78","69","2017-10-04 16:17","1.0","340","4.7","340","2017-10-04 19:12","0.2","0.8","0.2","2017-10-04 03:05","0.2","2017-10-04 03:05","0.0","0.0","5.18","10.5","-1.4","2","2017-10-04 12:00","6.3"
"05","1002.6","1012.3","1004.4","2017-10-05 01:19","1000.6","2017-10-05 15:41","29.0","34.6","2017-10-05 12:53","25.1","2017-10-05 05:20","23.9","75","54","2017-10-05 12:45","0.9","210","5.7","210","2017-10-05 12:52","0.0","0.0","0.0","","0.0","","7.4","63.1","17.65","11.0","2.4","7","2017-10-05 13:00","4.9"
"06","1002.3","1012.0","1004.0","2017-10-06 07:34","1000.1","2017-10-06 16:04","29.7","33.5","2017-10-06 11:09","26.0","2017-10-06 05:49","24.8","76","60","2017-10-06 11:09","0.7","340","5.2","240","2017-10-06 11:14","0.0","0.0","0.0","","0.0","","3.6","30.7","13.45","10.8","3.2","6","2017-10-06 11:00","6.9"
"07","1001.5","1011.1","1003.1","2017-10-07 06:59","999.2","2017-10-07 14:18","30.3","34.8","2017-10-07 13:17","26.7","2017-10-07 05:44","24.8","73","57","2017-10-07 14:38","0.9","230","5.5","250","2017-10-07 11:54","0.0","0.0","0.0","","0.0","","6.1","52.2","16.06","11.0","4.9","5","2017-10-07 13:00","4.8"
"08","1000.1","1009.7","1002.1","2017-10-08 00:01","997.0","2017-10-08 14:10","30.8","38.3","2017-10-08 14:03","26.2","2017-10-08 05:49","24.6","71","41","2017-10-08 13:54","1.3","190","7.2","190","2017-10-08 14:58","0.3","0.1","0.3","2017-10-08 18:29","0.3","2017-10-08 18:29","7.2","61.7","19.01","10.6","-3.7","8","2017-10-08 12:00","4.1"
"09","1000.5","1010.2","1002.1","2017-10-09 00:23","998.8","2017-10-09 14:53","30.0","33.6","2017-10-09 14:17","26.7","2017-10-09 05:35","24.2","72","59","2017-10-09 14:16","0.9","190","5.7","170","2017-10-09 10:19","0.0","0.0","0.0","","0.0","","2.6","22.3","13.68","10.0","1.9","5","2017-10-09 13:00","5.4"
"10","1000.5","1010.2","1002.5","2017-10-10 08:16","999.0","2017-10-10 14:23","29.6","34.5","2017-10-10 10:42","25.1","2017-10-10 05:34","23.8","72","56","2017-10-10 11:05","0.8","130","5.8","180","2017-10-10 12:25","0.0","0.0","0.0","","0.0","","5.5","47.3","16.75","11.6","4.1","6","2017-10-10 11:00","4.1"
