"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1005.7","1015.6","1007.9","2017-11-01 00:01","1003.7","2017-11-01 14:29","23.4","28.9","2017-11-01 12:29","18.3","2017-11-01 06:08","17.7","72","46","2017-11-01 09:55","0.9","350","5.9","340","2017-11-01 14:27","0.0","0.0","0.0","","0.0","","8.1","72.7","16.91","12.9","4.3","6","2017-11-01 12:00","2.3"
"02","1003.5","1013.4","1005.4","2017-11-02 00:01","1001.6","2017-11-02 14:16","24.5","30.2","2017-11-02 11:29","20.7","2017-11-02 04:56","20.4","79","55","2017-11-02 09:42","1.2","10","9.4","10","2017-11-02 15:30","T","0.5","T","2017-11-02 22:20","T","2017-11-02 22:20","4.4","39.6","13.27","10.9","-1.3","6","2017-11-02 12:00","6.6"
"03","1004.6","1014.5","1006.5","2017-11-03 19:49","1002.9","2017-11-03 04:53","23.9","26.5","2017-11-03 09:56","21.9","2017-11-03 19:40","20.2","80","71","2017-11-03 14:12","2.8","10","14.1","30","2017-11-03 12:41","1.0","2.0","0.5","2017-11-03 17:00","0.5","2017-11-03 16:25","0.5","4.5","10.06","10.8","-2.7","5","2017-11-03 12:00","9.6"
"04","1006.2","1016.2","1007.9","2017-11-04 22:54","1004.7","2017-11-04 02:26","22.8","27.2","2017-11-04 11:36","20.2","2017-11-04 22:31","15.8","65","54","2017-11-04 14:20","2.8","10","10.4","20","2017-11-04 15:04","T","0.2","T","2017-11-04 08:02","T","2017-11-04 08:02","2.6","23.5","12.52","16.1","5.2","6","2017-11-04 12:00","7.9"
"05","1006.4","1016.4","1008.2","2017-11-05 09:13","1004.6","2017-11-05 14:27","22.8","28.1","2017-11-05 14:20","19.0","2017-11-05 06:06","16.9","70","59","2017-11-05 12:18","0.8","360","5.3","10","2017-11-05 01:08","0.0","0.0","0.0","","0.0","","3.1","28.0","12.40","17.1","2.8","5","2017-11-05 12:00","8.0"
"06","1005.5","1015.4","1007.0","2017-11-06 08:42","1004.1","2017-11-06 14:45","24.1","28.0","2017-11-06 12:08","21.0","2017-11-06 05:17","20.4","80","65","2017-11-06 13:54","0.9","350","6.4","320","2017-11-06 14:56","0.0","0.0","0.0","","0.0","","1.3","11.8","10.31","7.8","1.8","5","2017-11-06 12:00","8.8"
"07","1005.3","1015.2","1006.7","2017-11-07 09:09","1003.7","2017-11-07 13:46","25.6","30.3","2017-11-07 12:50","22.1","2017-11-07 06:03","22.2","82","63","2017-11-07 12:37","1.3","350","6.5","10","2017-11-07 21:15","0.0","0.0","0.0","","0.0","","8.9","80.7","17.01","9.0","3.1","6","2017-11-07 12:00","5.8"
"08","1004.4","1014.3","1006.0","2017-11-08 00:01","1003.0","2017-11-08 13:46","25.2","31.1","2017-11-08 12:19","22.8","2017-11-08 23:59","20.7","76","58","2017-11-08 12:16","2.0","10","11.2","40","2017-11-08 15:03","0.0","0.0","0.0","","0.0","","9.6","87.2","17.86","14.9","3.2","7","2017-11-08 12:00","1.8"
"09","1003.8","1013.7","1005.1","2017-11-09 08:28","1002.2","2017-11-09 15:19","25.9","30.8","2017-11-09 13:22","22.8","2017-11-09 00:01","21.0","75","59","2017-11-09 12:34","0.7","320","5.1","240","2017-11-09 14:03","0.0","0.0","0.0","","0.0","","8.4","76.4","16.64","11.8","3.8","6","2017-11-09 12:00","3.6"
"10","1004.2","1014.0","1005.5","2017-11-10 08:30","1002.6","2017-11-10 13:56","25.3","29.4","2017-11-10 11:20","22.6","2017-11-10 05:10","22.1","83","66","2017-11-10 11:20","1.0","330","6.5","310","2017-11-10 11:50","0.0","0.0","0.0","","0.0","","2.6","23.7","10.89","8.5","2.1","4","2017-11-10 11:00","7.0"
"11","1003.7","1013.6","1004.7","2017-11-11 09:22","1002.8","2017-11-11 03:27","24.3","26.9","2017-11-11 13:08","21.5","2017-11-11 23:33","20.6","80","68","2017-11-11 13:04","1.6","360","7.6","340","2017-11-11 07:23","T","3.0","T","2017-11-11 19:05","T","2017-11-11 19:05","0.1","0.9","7.75","10.8","-0.7","4","2017-11-11 12:00","9.6"
"12","1003.3","1013.2","1005.0","2017-11-12 09:10","1001.5","2017-11-12 15:37","22.5","25.4","2017-11-12 13:19","20.4","2017-11-12 01:43","20.2","87","77","2017-11-12 14:23","1.1","360","5.9","340","2017-11-12 13:42","16.0","11.1","2.5","2017-11-12 04:59","9.0","2017-11-12 04:58","0.0","0.0","6.76","10.5","-0.6","5","2017-11-12 12:00","9.4"
"13","1002.4","1012.4","1003.6","2017-11-13 00:11","1000.8","2017-11-13 14:35","23.2","26.2","2017-11-13 14:39","21.4","2017-11-13 06:56","21.0","87","79","2017-11-13 14:51","1.1","350","8.2","360","2017-11-13 09:34","1.5","2.4","0.5","2017-11-13 06:47","1.3","2017-11-13 06:47","0.7","6.4","9.05","11.0","-1.4","4","2017-11-13 11:00","7.8"
"14","1003.5","1013.4","1005.1","2017-11-14 09:10","1001.7","2017-11-14 14:27","24.5","29.2","2017-11-14 13:43","22.3","2017-11-14 02:19","21.8","85","71","2017-11-14 13:43","1.2","360","6.6","10","2017-11-14 16:33","0.5","1.4","0.5","2017-11-14 06:51","0.5","2017-11-14 05:31","5.2","47.7","13.23","11.1","2.0","6","2017-11-14 13:00","7.9"
"15","1004.8","1014.7","1006.2","2017-11-15 09:22","1003.5","2017-11-15 15:02","24.5","29.2","2017-11-15 12:34","21.0","2017-11-15 06:22","20.9","81","68","2017-11-15 14:39","1.0","350","6.3","360","2017-11-15 14:07","0.0","0.0","0.0","","0.0","","5.9","54.2","14.05","11.9","3.5","5","2017-11-15 13:00","5.9"
"16","1004.0","1013.9","1006.5","2017-11-16 09:20","1001.4","2017-11-16 15:03","25.0","31.2","2017-11-16 12:49","21.3","2017-11-16 06:24","21.6","83","57","2017-11-16 12:54","0.8","220","6.8","350","2017-11-16 16:12","0.0","0.0","0.0","","0.0","","9.2","84.6","15.50","11.0","1.5","6","2017-11-16 12:00","5.4"
"17","1001.2","1011.0","1003.7","2017-11-17 00:03","998.6","2017-11-17 14:53","26.0","30.9","2017-11-17 12:58","22.5","2017-11-17 05:48","22.2","81","59","2017-11-17 12:46","0.8","240","5.5","270","2017-11-17 13:52","0.0","0.0","0.0","","0.0","","8.8","81.0","15.66","9.5","4.1","6","2017-11-17 12:00","4.3"
"18","1001.6","1011.5","1004.8","2017-11-18 23:52","999.8","2017-11-18 04:55","23.8","28.0","2017-11-18 09:13","19.8","2017-11-18 23:59","19.3","76","66","2017-11-18 12:07","2.5","10","11.4","360","2017-11-18 13:23","0.0","0.0","0.0","","0.0","","8.5","78.3","15.95","13.0","4.3","6","2017-11-18 12:00","5.4"
"19","1006.0","1016.0","1008.0","2017-11-19 23:26","1004.1","2017-11-19 14:56","21.1","25.2","2017-11-19 12:25","18.3","2017-11-19 05:39","16.3","74","65","2017-11-19 14:34","1.3","10","9.2","30","2017-11-19 00:07","0.0","0.0","0.0","","0.0","","1.8","16.6","9.50","11.8","-1.5","5","2017-11-19 12:00","9.3"
"20","1006.9","1016.9","1008.4","2017-11-20 08:05","1004.5","2017-11-20 14:08","21.2","25.7","2017-11-20 13:21","19.1","2017-11-20 01:13","18.3","84","70","2017-11-20 13:20","2.0","350","11.2","350","2017-11-20 14:28","0.5","2.3","0.5","2017-11-20 04:13","0.5","2017-11-20 04:00","3.6","33.3","11.93","13.9","-2.0","5","2017-11-20 13:00","8.4"
"21","1005.4","1015.4","1007.6","2017-11-21 00:40","1002.8","2017-11-21 15:31","23.1","29.5","2017-11-21 13:17","19.8","2017-11-21 01:25","19.8","82","60","2017-11-21 13:17","1.2","340","6.7","300","2017-11-21 16:06","T","0.3","T","2017-11-21 06:05","T","2017-11-21 06:05","5.9","54.6","15.01","12.5","3.1","6","2017-11-21 12:00","6.8"
"22","1004.4","1014.4","1006.3","2017-11-22 08:51","1001.6","2017-11-22 13:54","21.7","26.2","2017-11-22 13:17","18.9","2017-11-22 23:24","18.8","84","71","2017-11-22 13:17","2.6","10","11.9","40","2017-11-22 14:20","0.0","0.0","0.0","","0.0","","5.7","52.8","13.80","13.4","1.5","6","2017-11-22 13:00","5.6"
"23","1007.3","1017.4","1009.2","2017-11-23 21:11","1005.4","2017-11-23 13:02","19.3","23.4","2017-11-23 11:16","17.4","2017-11-23 05:17","14.3","73","59","2017-11-23 12:54","2.8","360","12.8","10","2017-11-23 10:01","0.0","0.0","0.0","","0.0","","7.8","72.4","15.89","12.1","3.9","6","2017-11-23 12:00","6.0"
"24","1009.7","1019.8","1012.1","2017-11-24 09:22","1008.1","2017-11-24 14:02","19.6","22.2","2017-11-24 11:17","18.0","2017-11-24 06:21","14.0","70","61","2017-11-24 10:52","2.0","360","8.7","10","2017-11-24 12:06","T","0.3","T","2017-11-24 22:30","T","2017-11-24 22:30","0.1","0.9","8.73","13.0","-2.7","4","2017-11-24 12:00","7.8"
"25","1010.1","1020.1","1011.5","2017-11-25 08:33","1007.7","2017-11-25 14:52","20.1","23.3","2017-11-25 13:29","18.5","2017-11-25 00:01","16.6","80","69","2017-11-25 15:52","1.7","350","8.4","360","2017-11-25 13:20","0.0","0.0","0.0","","0.0","","1.4","13.0","10.27","15.8","1.4","5","2017-11-25 12:00","9.3"
"26","1009.0","1019.0","1011.2","2017-11-26 07:59","1007.2","2017-11-26 14:50","21.9","27.6","2017-11-26 11:48","19.6","2017-11-26 00:08","18.2","80","62","2017-11-26 12:38","1.8","20","10.2","350","2017-11-26 15:47","T","1.6","T","2017-11-26 20:45","T","2017-11-26 21:30","2.3","21.4","11.55","11.3","-2.9","6","2017-11-26 12:00","8.5"
"27","1006.2","1016.1","1008.5","2017-11-27 09:05","1003.6","2017-11-27 14:46","23.1","29.1","2017-11-27 13:38","19.9","2017-11-27 01:00","19.0","78","59","2017-11-27 13:35","1.2","330","6.1","310","2017-11-27 02:29","T","0.7","T","2017-11-27 00:30","T","2017-11-27 00:30","4.2","39.1","12.05","12.6","3.0","5","2017-11-27 12:00","7.6"
"28","1006.3","1016.2","1008.0","2017-11-28 09:05","1004.5","2017-11-28 14:41","24.2","31.3","2017-11-28 11:45","20.4","2017-11-28 05:39","20.8","83","54","2017-11-28 13:03","0.8","360","7.0","360","2017-11-28 15:29","0.0","0.0","0.0","","0.0","","8.5","79.3","15.25","10.6","2.3","5","2017-11-28 12:00","3.1"
"29","1006.4","1016.3","1008.0","2017-11-29 08:34","1004.3","2017-11-29 14:48","23.8","28.9","2017-11-29 14:04","21.1","2017-11-29 05:24","21.0","85","64","2017-11-29 14:04","1.4","340","6.6","350","2017-11-29 19:50","0.0","0.0","0.0","","0.0","","5.9","55.1","13.32","6.1","2.7","5","2017-11-29 12:00","5.9"
"30","1005.1","1015.0","1006.7","2017-11-30 08:51","1002.9","2017-11-30 14:07","23.4","27.3","2017-11-30 12:01","21.6","2017-11-30 06:19","19.8","81","68","2017-11-30 11:55","2.4","350","9.9","340","2017-11-30 14:05","0.0","0.0","0.0","","0.0","","8.7","81.3","15.39","11.6","3.9","5","2017-11-30 12:00","6.1"
