"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1003.5","1013.4","1004.8","2017-05-01 06:51","1002.0","2017-05-01 16:03","24.5","30.3","2017-05-01 13:47","18.9","2017-05-01 05:21","16.4","62","43","2017-05-01 09:57","0.9","320","7.7","320","2017-05-01 14:38","0.0","0.0","0.0","","0.0","","6.9","53.1","21.51","13.5","3.8","6","2017-05-01 13:00","5.1"
"02","1002.9","1012.7","1004.4","2017-05-02 07:54","1001.5","2017-05-02 16:08","25.5","30.3","2017-05-02 11:15","21.9","2017-05-02 05:02","19.8","72","53","2017-05-02 11:52","0.8","360","5.2","300","2017-05-02 14:28","T","0.1","T","2017-05-02 14:20","T","2017-05-02 14:20","0.9","6.9","12.37","13.1","-3.2","5","2017-05-02 12:00","9.0"
"03","1002.5","1012.3","1004.3","2017-05-03 07:44","1000.8","2017-05-03 14:41","26.7","31.5","2017-05-03 12:23","23.7","2017-05-03 04:47","21.6","74","58","2017-05-03 12:23","0.9","120","7.4","320","2017-05-03 16:04","0.0","0.0","0.0","","0.0","","4.7","36.0","18.17","11.6","3.1","6","2017-05-03 11:00","5.9"
"04","1002.4","1012.2","1003.8","2017-05-04 21:56","1000.8","2017-05-04 13:14","27.3","32.4","2017-05-04 13:20","23.2","2017-05-04 04:23","21.9","73","58","2017-05-04 12:11","1.1","230","7.1","220","2017-05-04 14:41","0.0","0.0","0.0","","0.0","","6.9","52.8","21.74","11.0","4.5","7","2017-05-04 13:00","5.6"
"05","1004.0","1013.8","1006.3","2017-05-05 22:10","1002.0","2017-05-05 02:20","27.3","31.8","2017-05-05 12:15","24.1","2017-05-05 02:58","21.8","72","61","2017-05-05 17:52","0.9","330","6.7","340","2017-05-05 15:43","0.0","0.0","0.0","","0.0","","5.1","39.0","18.45","11.3","3.1","5","2017-05-05 11:00","7.4"
"06","1005.1","1015.0","1006.9","2017-05-06 08:21","1003.2","2017-05-06 16:21","27.0","31.9","2017-05-06 12:55","23.2","2017-05-06 23:39","21.6","73","61","2017-05-06 13:08","1.2","340","8.0","330","2017-05-06 13:11","0.0","0.0","0.0","","0.0","","5.7","43.5","20.22","10.5","8.3","6","2017-05-06 14:00","4.6"
"07","1004.1","1013.9","1005.9","2017-05-07 06:43","1001.6","2017-05-07 15:13","26.9","32.4","2017-05-07 14:14","22.2","2017-05-07 04:28","21.4","73","56","2017-05-07 13:35","1.2","340","6.2","350","2017-05-07 11:32","0.0","0.0","0.0","","0.0","","11.0","83.9","26.59","11.1","5.5","8","2017-05-07 12:00","1.5"
"08","1002.0","1011.7","1004.6","2017-05-08 00:04","999.5","2017-05-08 15:27","28.0","32.2","2017-05-08 12:07","24.8","2017-05-08 04:19","22.1","71","59","2017-05-08 11:03","1.6","240","7.1","260","2017-05-08 13:25","0.0","0.0","0.0","","0.0","","7.1","54.1","22.78","10.8","4.9","7","2017-05-08 12:00","5.9"
"09","1002.1","1011.8","1003.8","2017-05-09 21:48","1000.7","2017-05-09 03:08","27.9","32.2","2017-05-09 13:17","24.9","2017-05-09 05:51","22.3","72","61","2017-05-09 13:19","1.6","240","7.4","240","2017-05-09 12:32","0.0","0.0","0.0","","0.0","","7.0","53.2","23.38","13.9","5.1","7","2017-05-09 12:00","5.0"
"10","1004.1","1013.8","1005.9","2017-05-10 21:30","1002.5","2017-05-10 01:57","27.9","33.3","2017-05-10 13:19","22.8","2017-05-10 05:01","21.6","69","51","2017-05-10 14:42","0.9","330","6.7","310","2017-05-10 12:40","0.0","0.0","0.0","","0.0","","7.9","60.0","21.79","12.4","3.8","6","2017-05-10 13:00","5.3"
