date,peak_load,weekday,workday,temperature,holiday
2019-03-20,29645,2,1,24.7,0
2019-03-21,30343,3,1,25.9,0
2019-03-22,29618,4,1,23.8,0
2019-03-23,25265,5,0,18.4,2
2019-03-24,24812,6,0,17.5,2
2019-03-25,28535,0,1,19.5,0
2019-03-26,28756,1,1,21.5,0
2019-03-27,29140,2,1,23.7,0
2019-03-28,30093,3,1,25.4,0
2019-03-29,29673,4,1,24.6,0
2019-03-30,25810,5,0,23.4,2
2019-03-31,24466,6,0,23.1,2
2019-04-01,28100,0,1,23.1,0
2019-04-02,28700,1,1,22.5,0
2019-04-03,28600,2,1,22.5,0
2019-04-04,25700,3,0,23.5,4
2019-04-05,24600,4,0,24.0,4
2019-04-06,24300,5,0,25.5,4
2019-04-07,24500,6,0,26.0,4
2019-04-08,28500,0,1,25.5,0
